sign,frame,mpvpe_ubody,mpvpe_lhand,mpvpe_rhand,trv2v_ubody,trv2v_lhand,trv2v_rhand,pred_path,gt_path
Blitz,low_135,36.711644,124.167375,17.272407,25.884727,55.155858,13.909372,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_135.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00270.obj
Blitz,low_137,38.994141,119.410381,15.126759,27.034409,52.579921,12.488727,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_137.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00274.obj
Blitz,low_139,40.266149,124.888830,14.754749,26.260881,55.486754,12.114378,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_139.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00278.obj
Blitz,low_141,39.719377,126.822382,13.656348,25.406791,57.619710,11.962458,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_141.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00282.obj
Blitz,low_143,46.628900,127.143294,11.498063,26.936328,56.056406,10.554094,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_143.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00286.obj
Blitz,low_145,41.576803,128.821060,15.229361,26.166487,58.549210,12.442625,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_145.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00290.obj
Blitz,low_147,42.297579,119.500741,14.888423,27.180776,55.078600,11.498488,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_147.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00294.obj
Blitz,low_149,47.322858,115.160756,16.573843,27.236184,52.593302,11.151150,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_149.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00298.obj
Blitz,low_151,47.732815,107.933089,16.925102,26.723655,49.179159,10.854024,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_151.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00302.obj
Blitz,low_153,45.548480,104.616165,14.115780,27.008036,47.178388,10.683456,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_153.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00306.obj
Blitz,low_155,44.696230,100.079589,11.131515,26.011871,45.819007,10.608155,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_155.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00310.obj
Blitz,low_157,39.382860,118.931025,11.985692,22.974771,56.183837,11.833252,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_157.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00314.obj
Blitz,low_159,43.734159,126.555413,11.662648,24.665661,59.472047,11.292163,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_159.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00318.obj
Blitz,low_161,49.971852,127.972424,13.704921,28.237216,58.985036,12.169669,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_161.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00322.obj
Blitz,low_163,44.575926,119.526021,15.847642,27.988749,56.767862,13.730946,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_163.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00326.obj
Blitz,low_165,47.176152,119.826645,21.229820,30.864643,57.111535,14.752652,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_165.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00330.obj
Blitz,low_167,48.663892,117.772974,22.537023,30.871460,56.660354,15.503102,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_167.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00334.obj
Blitz,low_169,47.592018,124.570802,23.487499,31.379119,59.906922,15.397752,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_169.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00338.obj
Blitz,low_171,49.167451,125.151649,26.755296,32.389987,59.706766,17.105978,/home/haipd/DexAvatar/outputs/output_wilor/Blitz/smplifyx/meshes/low_171.obj,/home/haipd/DexAvatar/data/smplx_gt/Blitz/00342.obj
Boese,low_131,38.839854,91.897503,41.286286,24.126317,44.337481,20.656073,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_131.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00262.obj
Boese,low_133,51.491454,99.368863,37.603907,27.428184,47.433387,19.913172,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_133.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00266.obj
Boese,low_135,54.036878,108.235851,47.178343,29.107668,50.505780,22.883089,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_135.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00270.obj
Boese,low_137,47.015339,96.067525,49.488734,26.946809,44.675652,23.251722,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_137.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00274.obj
Boese,low_139,46.970241,95.883071,40.286306,26.926016,45.572694,20.347470,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_139.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00278.obj
Boese,low_141,39.590623,91.109134,44.167060,27.163833,43.846846,22.872787,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_141.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00282.obj
Boese,low_143,42.268738,94.208084,45.440380,26.408067,44.853944,22.670660,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_143.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00286.obj
Boese,low_145,42.603120,99.424675,35.088047,26.664631,47.923841,19.235378,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_145.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00290.obj
Boese,low_147,43.956198,102.315813,42.412031,27.021341,49.641542,21.066813,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_147.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00294.obj
Boese,low_149,49.421813,94.074681,47.653876,26.873238,45.857955,23.445200,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_149.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00298.obj
Boese,low_151,39.181832,99.297702,36.307715,24.181584,48.823729,20.391630,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_151.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00302.obj
Boese,low_153,44.491012,93.109302,37.856318,25.398400,44.792134,20.748908,/home/haipd/DexAvatar/outputs/output_wilor/Boese/smplifyx/meshes/low_153.obj,/home/haipd/DexAvatar/data/smplx_gt/Boese/00306.obj
