clip_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,13.708953862659625,10.772830151411458,52.78802767708402,49.42898345130875,98.98909502272923,18.83421358337185,18.730447564531556
Akzeptieren,8.714191200765882,6.564471676333415,47.173322153323,74.1341703292259,72.0794602629024,18.90272660397133,9.823347881972683
Arzt,9.691220513173064,8.118954956710478,52.133667263685346,54.39264420375372,53.50178120409975,23.1889947515584,9.360186434306474
AufgebenResignieren,11.72073991404452,10.992347308283648,46.4425365408453,72.78201112144943,73.61588119586388,28.225423297478223,21.746622156591375
AusgebenGeldVerschwenden,12.322590540838156,13.732092431605981,51.489715509692466,62.785085792003585,85.89209891043248,18.421697539006857,38.91229349556984
Auto,13.080201855676263,13.929829155984596,41.45025958743696,56.78125196456213,55.20862109064147,21.413489219661077,21.105277768615288
BesuchenEinmischen,17.218117786613625,13.880320382972767,48.79572319507681,60.31048602783712,67.7146690071702,26.600706218311522,24.632818482372162
Blitz,,13.663853691814381,70.9106849921932,,63.220817566694386,,19.21503279951693
Blume,20.895486360454072,10.57804114410672,53.58569612141942,61.51015234591824,66.95513290151435,30.66642462637311,14.18772217893815
Boese,,22.05771070217517,68.42527261640977,,90.51152955825619,,46.584256813357634
BroetchenAufschneiden,11.73766396803358,12.061547902398189,54.59893462083298,67.79521292231617,57.15513368483814,30.302510344621748,22.997860751636335
Dort,,12.191432291414172,61.12084024420952,,73.70593341466325,,14.465498008921681
Duenn,,17.85842208503098,62.3332564590624,,67.06866095286989,,17.754736606828555
Einkaufen,13.298529409639587,15.843365443933827,48.57893844248572,62.022110082166506,55.966613573858844,18.204152264416678,29.565009938386794
Einnehmen,16.689486127716417,15.738477880580986,52.09244013367761,71.13889360916919,73.89266212219248,27.10565877503669,20.5112537456396
EinstellenJob,15.186179709555878,8.755469038619244,43.617434179525745,57.9589026334629,81.57329490984465,27.946295464806333,18.864133465241565
EisGefroren,11.353839317869705,11.995093989065529,43.5757134880358,47.72647066028898,77.99292299028876,24.603640450061796,20.44213735940595
