clip_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,9.161933578010602,11.563252962680455,51.93081120345597,46.20831879886237,97.85747276702271,15.893986407482886,19.383412279444535
Akzeptieren,7.333893457001103,6.133617491399109,45.900959413149884,68.83651337853553,69.69025533362205,17.220103227086714,11.188127990823867
Arzt,8.854821704428728,7.698907644822751,52.063043003489796,54.61797139003587,53.03366264752355,19.700805820943973,9.901014400075692
AufgebenResignieren,9.931525091604115,11.984983492122467,45.632579016792654,63.99834543056016,70.04648882484852,24.169081430320606,21.973941138621015
AusgebenGeldVerschwenden,8.36760478136405,12.60738846993625,50.017693143589604,52.2704810132067,82.96866313113935,13.926732360542706,31.91009905331371
Auto,11.059849749132079,12.486192879179137,41.43509638800549,53.85981070176236,51.545351305580766,17.95135239358587,17.8619599603419
BesuchenEinmischen,15.411167284735942,11.602982158727718,48.52443940041876,60.581621800483184,64.80515818970896,28.10581150487469,22.365508793217952
Blitz,,13.230467450748478,67.09469151710911,,58.725972662669896,,18.237609420933815
Blume,15.119621023070707,10.389104666125522,52.83162214489645,58.577865565430976,65.29979876831752,25.06055544941434,13.1870634558663
Boese,,20.208678349458303,64.81784248851905,,88.45173156389055,,42.360316975899764
BroetchenAufschneiden,11.851421609997017,11.915600124854967,54.44914330294093,65.00532806366175,61.628192823829586,28.860399812748156,24.29048079130159
Dort,,11.241658524055598,61.56430555638178,,77.15709384668845,,13.704095462145583
Duenn,,14.95950639881913,65.17631127984072,,71.31238697232129,,14.669412476658966
Einkaufen,9.921121967710956,14.799013566431451,48.645619954162946,52.49583767966444,58.2499710360751,17.434406163524837,28.007579477032273
Einnehmen,13.867437256759217,12.983955804756706,51.60777349041356,68.070702250114,71.36810038536117,23.567245121959516,18.357622461731445
EinstellenJob,12.103475942430995,8.768571042944133,42.58960516622852,53.85962561907123,79.06475506409005,23.899322785409524,18.9427560196147
EisGefroren,10.514487508131593,10.598011524374503,43.77109111537732,50.93165422632065,76.89103437949217,23.451107999129224,18.433319105695606
Empathie,10.932734765124218,10.515619926419902,56.85043823934852,53.20573733002991,107.43242967757612,25.433828599393603,15.273084444064592
Entschuldigung,12.474421196250375,15.084533551738899,46.74262560896941,65.06107462310624,62.60129996986129,26.92675271059586,25.54356562388496
FestellenDiagnose,10.734167763593046,13.057157108361176,59.46872128464575,61.47133442777067,95.73250697635811,17.87654954404832,27.532968463954482
Frech,,12.623476585531906,73.38830568797563,,71.7516048194748,,24.177926085710478
