clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Ablehnen,10.362593270345531,9.161933578010602,11.563252962680455,51.93081120345597,72.03289578294253,46.20831879886237,97.85747276702271,17.63869934346371,15.893986407482886,19.383412279444535
Akzeptieren,6.733755474200107,7.333893457001103,6.133617491399109,45.900959413149884,69.2633843560788,68.83651337853553,69.69025533362205,14.20411560895529,17.220103227086714,11.188127990823867
Arzt,8.27686467462574,8.854821704428728,7.698907644822751,52.063043003489796,53.8258170187797,54.61797139003587,53.03366264752355,14.800910110509832,19.700805820943973,9.901014400075692
AufgebenResignieren,10.958254291863291,9.931525091604115,11.984983492122467,45.632579016792654,67.02241712770434,63.99834543056016,70.04648882484852,23.07151128447081,24.169081430320606,21.973941138621015
AusgebenGeldVerschwenden,10.48749662565015,8.36760478136405,12.60738846993625,50.017693143589604,67.61957207217303,52.2704810132067,82.96866313113935,22.918415706928208,13.926732360542706,31.91009905331371
Auto,11.773021314155605,11.059849749132079,12.486192879179137,41.43509638800549,52.70258100367156,53.85981070176236,51.545351305580766,17.906656176963885,17.95135239358587,17.8619599603419
BesuchenEinmischen,13.507074721731827,15.411167284735942,11.602982158727718,48.52443940041876,62.69338999509607,60.581621800483184,64.80515818970896,25.23566014904632,28.10581150487469,22.365508793217952
Blitz,13.230467450748478,,13.230467450748478,67.09469151710911,58.725972662669896,,58.725972662669896,18.237609420933815,,18.237609420933815
Blume,12.754362844598115,15.119621023070707,10.389104666125522,52.83162214489645,61.93883216687424,58.577865565430976,65.29979876831752,19.123809452640323,25.06055544941434,13.1870634558663
Boese,20.208678349458303,,20.208678349458303,64.81784248851905,88.45173156389055,,88.45173156389055,42.360316975899764,,42.360316975899764
BroetchenAufschneiden,11.88351086742599,11.851421609997017,11.915600124854967,54.44914330294093,63.316760443745665,65.00532806366175,61.628192823829586,26.575440302024873,28.860399812748156,24.29048079130159
Dort,11.241658524055598,,11.241658524055598,61.56430555638178,77.15709384668845,,77.15709384668845,13.704095462145583,,13.704095462145583
