clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,16,A1,False,43.046638675510565,14.896304019647534,11.620441705275848,36.97952764326074,56.953159706081806,31.51773130163759,14.896304019647534,11.620441705275848
Akzeptieren,8,A1,False,42.824655959623115,8.586078359655339,8.963434670152417,34.1999349649874,44.97931975630786,30.143146724422397,8.586078359655339,8.963434670152417
Arzt,21,A1,False,44.05277419456617,13.973267958904845,9.52173583098627,29.185606084471342,38.27997721379375,26.098164944032128,13.973267958904845,9.52173583098627
AufgebenResignieren,12,A1,False,42.836946657150456,10.086946202724793,8.40498944992505,32.67930405942823,45.27328290613237,28.415163051564775,10.086946202724791,8.40498944992505
AusgebenGeldVerschwenden,7,A1,False,40.24201291254998,13.143887312404521,13.061055606580721,27.935463396963172,43.08957209628972,23.932586904916,13.143887312404521,13.061055606580721
Auto,15,A1,False,39.25618319681681,11.069430332342682,11.518197924409463,27.97378564960404,36.35178472045222,25.039332629230426,11.06943033234268,11.518197924409463
BesuchenEinmischen,17,A1,False,34.8008057402807,20.3204211181178,12.226930268498,26.422988744607355,35.64620086004929,23.71696133699389,20.3204211181178,12.226930268498002
Blitz,4,A1,True,43.60546225033535,,15.765801962027853,40.62246154951827,57.36698167153981,35.073705328838585,,15.765801962027853
Blume,18,A1,False,41.91341747954901,19.337551126100777,11.877569571843763,29.4748632582866,41.60476285178146,26.25337606661305,19.337551126100777,11.877569571843763
Boese,11,A1,True,43.51554173513278,,20.12352489001281,34.52246602730906,51.67303014347137,30.02563913690394,,20.12352489001281
BroetchenAufschneiden,22,A1,False,43.407349146086524,12.035890091630176,15.326158106400566,30.779436400125793,42.128241798367554,27.263297578400376,12.035890091630176,15.326158106400566
Dort,11,A1,True,41.377865534167256,,10.773200743250761,31.209982293242387,50.2588458942327,26.91282786003239,,10.773200743250761
Duenn,15,A1,True,42.11450234833376,,13.109650268976258,29.96416814094893,44.627825725561166,26.249957045235092,,13.109650268976258
Einkaufen,6,A1,False,39.21559275380179,18.71905638440865,26.21345162378738,30.385661204675973,38.790384482328896,26.966008002338043,18.71905638440865,26.213451623787382
