clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,16,SIGNAL4D_v5,False,43.242572838458635,11.70866809957181,11.6255471811073,36.99299239938595,57.34681909067773,31.520505549829547,11.70866809957181,11.6255471811073
Akzeptieren,8,SIGNAL4D_v5,False,42.824655959623115,8.586078359655339,8.963434670152417,34.1999349649874,44.97931975630786,30.143146724422397,8.586078359655339,8.963434670152417
Arzt,21,SIGNAL4D_v5,False,44.1853274433958,14.39293460976956,9.508255276522213,29.29642382718559,38.50333618005017,26.1962968114899,14.39293460976956,9.508255276522213
AufgebenResignieren,12,SIGNAL4D_v5,False,42.65833867385005,8.909130165302582,8.411983057521896,32.21328497985135,44.58532713399641,28.037934548135155,8.909130165302582,8.411983057521896
AusgebenGeldVerschwenden,7,SIGNAL4D_v5,False,39.75658317487375,8.781407354022884,13.08313355281438,27.37140342459503,41.91529520789349,23.486691601158928,8.781407354022884,13.08313355281438
Auto,15,SIGNAL4D_v5,False,39.25618319681681,11.069430332342682,11.518197924409463,27.97378564960404,36.35178472045222,25.039332629230426,11.06943033234268,11.518197924409463
BesuchenEinmischen,17,SIGNAL4D_v5,False,34.91229373033245,19.276730579359246,12.227036810940346,26.541822973001935,35.4426258248623,23.889064418916178,19.276730579359246,12.227036810940346
Blitz,4,SIGNAL4D_v5,True,43.417749855077886,,15.7666796649501,40.381839422831334,56.95682714925338,34.869370798469006,,15.7666796649501
Blume,18,SIGNAL4D_v5,False,41.85048480697777,17.89194438675931,11.86827389911276,29.3289745603551,41.230868295671144,26.219885537359605,17.89194438675931,11.868273899112761
Boese,11,SIGNAL4D_v5,True,43.28822898625595,,20.12843457841976,34.22264715385202,51.12359352518726,29.757567615089226,,20.12843457841976
BroetchenAufschneiden,22,SIGNAL4D_v5,False,43.44060864247341,11.543944385933687,15.331017764726898,30.790050398403526,42.078217601741194,27.285117999418663,11.543944385933687,15.331017764726898
Dort,11,SIGNAL4D_v5,True,41.1241665165048,,10.7631629297497,30.855802748634172,49.66092216137269,26.635544615798427,,10.7631629297497
Duenn,15,SIGNAL4D_v5,True,41.905364059687685,,13.110269297156911,29.699730422215552,44.15298832459443,26.02875427758935,,13.110269297156911
Einkaufen,6,SIGNAL4D_v5,False,38.79354945789635,15.848351908994445,26.21792196876214,29.785123434037,37.020922184233626,26.54812174062779,15.848351908994445,26.21792196876214
Einnehmen,9,SIGNAL4D_v5,False,35.86671280599423,17.036749483545904,14.222573285221857,27.654503798803216,38.65301866344455,24.660879986076445,17.036749483545904,14.222573285221857
EinstellenJob,14,SIGNAL4D_v5,False,47.548241240762316,16.270925211542394,9.065631026770944,41.263945679883136,57.22649643243166,36.06177310692276,16.270925211542394,9.065631026770944
EisGefroren,14,SIGNAL4D_v5,False,42.114088416915656,13.109207366129684,10.332938839274401,32.410716101398364,44.07803806449408,28.320788037581103,13.109207366129684,10.332938839274401
Empathie,26,SIGNAL4D_v5,False,49.38916391706904,12.954860329238453,13.988121988699687,35.60284041247564,55.36992948880898,30.567106242775797,12.954860329238453,13.988121988699687
Entschuldigung,10,SIGNAL4D_v5,False,41.82729115329281,11.630433797161366,13.259309738234132,31.6139790834684,46.151139405750136,28.10000856107343,11.630433797161366,13.259309738234132
FestellenDiagnose,14,SIGNAL4D_v5,False,45.45984058745467,9.572321809901197,13.43763909030666,30.393242232029117,48.58936144578287,25.889996051306976,9.572321809901197,13.43763909030666
Frech,4,SIGNAL4D_v5,True,42.621362052951966,,10.9895701727003,31.249275721759094,41.963034950040544,28.174313540435215,,10.9895701727003
Frieren,18,SIGNAL4D_v5,False,41.05104958425071,9.70312195326953,13.044808631199853,28.955083618717392,35.35955415797185,26.326845910540115,9.70312195326953,13.044808631199853
Frisch,14,SIGNAL4D_v5,False,50.40831079239387,8.766458173124501,8.728974499391855,39.4394491764216,40.18553459171041,36.70513288220442,8.766458173124501,8.728974499391855
Froh,13,SIGNAL4D_v5,False,49.999388598134175,10.129187211084226,8.945886692975222,44.15589195685224,54.21447018924535,39.590779623128086,10.129187211084226,8.945886692975222
Glas,34,SIGNAL4D_v5,False,40.591827128979666,20.587085592652677,14.379345523379124,29.708472532540544,41.83229553359116,26.232170446990462,20.587085592652677,14.379345523379126
IdiomPffIgnorieren,16,SIGNAL4D_v5,False,47.000246460528324,18.960011720135704,11.607382774872374,29.466241393597222,42.13874441701413,25.80040224421807,18.960011720135704,11.607382774872374
Jahr,10,SIGNAL4D_v5,True,43.126610827254,,13.543502714157592,38.884209193235236,55.86722743164548,33.271832463776256,,13.543502714157592
Klar,14,SIGNAL4D_v5,True,37.7524329716835,,8.941659464903857,29.0273899720134,38.74740121182981,25.520683735592083,,8.941659464903859
Kochen,14,SIGNAL4D_v5,False,37.46983891961718,14.050513334292415,13.112738949203086,24.74140395258586,33.514684481696136,22.28237050898707,14.050513334292416,13.112738949203086
Lesen,18,SIGNAL4D_v5,False,38.770345978222835,9.450506131725351,11.417529580916998,30.31026901843306,40.14935943214976,26.732222079279452,9.450506131725353,11.417529580917
LiebBitte,16,SIGNAL4D_v5,True,47.84107538012464,,11.84753175123134,41.86473558037978,51.463097341386366,37.0408518600844,,11.84753175123134
Luegen,6,SIGNAL4D_v5,True,39.64273068543912,,12.347125368163782,29.980866748719407,39.505468211208004,26.776679776599014,,12.347125368163782
Muell,6,SIGNAL4D_v5,True,38.968014597779494,,11.396870277273031,28.70158302712464,40.19692885461893,25.425181973799226,,11.396870277273031
Mutter,11,SIGNAL4D_v5,True,46.2622287185362,,8.340029024286268,36.5929098434957,49.17747244548712,32.239407452649054,,8.340029024286268
Naehen,15,SIGNAL4D_v5,False,37.17436494605921,16.249526448323465,10.882114094065066,25.920775925964797,35.89276823038604,22.973073284351177,16.249526448323465,10.882114094065068
Nebel,7,SIGNAL4D_v5,False,46.21045571734987,11.230695216683538,10.584375824856634,40.19482554478925,59.71380578657355,34.93322688024872,11.230695216683538,10.584375824856634
Neu,18,SIGNAL4D_v5,False,40.30602728767124,19.113920673369858,10.570721585645137,29.27066491911192,42.44375142069657,26.137363759977116,19.11392067336985,10.570721585645137
Operieren,19,SIGNAL4D_v5,False,39.64151634264393,15.532054665944168,10.655556846428327,30.934177975678967,42.91259666452392,27.06629656850698,15.532054665944168,10.655556846428327
Regen,5,SIGNAL4D_v5,False,46.29868598871338,12.818442948557308,12.244874397836469,44.506073058739396,50.029026513707194,40.069655402831074,12.818442948557308,12.244874397836469
SauerWuetend,11,SIGNAL4D_v5,True,44.60801675520204,,10.880708773026862,34.69728302388094,44.793879568740685,30.94908151180898,,10.880708773026862
Schreiben,11,SIGNAL4D_v5,False,45.55775898992448,11.1005625162666,10.601368203742352,38.41761885137484,52.532769056086515,33.642362625646804,11.1005625162666,10.601368203742352
Schwach,14,SIGNAL4D_v5,False,53.525886239321444,10.827178340791201,11.054430400450057,52.96100687460845,60.712918906614405,47.7053224032568,10.827178340791201,11.054430400450057
Schwer,14,SIGNAL4D_v5,False,41.36290495848369,11.720383019668162,12.135423980119459,30.32754294073229,38.17473878126485,27.382854272732377,11.720383019668162,12.135423980119459
Sonne,14,SIGNAL4D_v5,True,41.4437825132698,,40.45352860285152,34.222702191358884,52.92894601619588,29.2311411113972,,40.45352860285152
Sorry,14,SIGNAL4D_v5,True,42.714223558817366,,13.709408035109439,34.251448616162044,45.03308495438818,29.946680331102446,,13.709408035109439
SparenSparsam,9,SIGNAL4D_v5,False,39.24142838615215,18.977216749503157,11.257212625636562,29.726369253694315,41.149334361601035,26.169229319782325,18.977216749503157,11.257212625636562
Spezial,14,SIGNAL4D_v5,False,39.30691532812964,9.70150065923922,11.557889949942178,29.757223223106823,36.69121128068063,26.71258213024802,9.70150065923922,11.557889949942178
Tisch,21,SIGNAL4D_v5,False,53.84220937601313,11.921290144927934,20.47516778008141,50.56542001517268,72.0660470616618,43.809889425639746,11.921290144927934,20.47516778008141
Treffen,14,SIGNAL4D_v5,False,44.56039009287905,19.26982357150315,11.376450688655174,29.643798126944578,35.157040799405486,26.597960731329767,19.26982357150315,11.376450688655178
Vater,12,SIGNAL4D_v5,True,41.80838764620288,,11.407950042603822,34.422446543905,48.43853618425195,29.88297862325545,,11.40795004260382
Verschieden,7,SIGNAL4D_v5,False,41.34318270998467,13.285196574035757,13.707918435249052,36.11254782160814,49.601521833745075,31.55273261806397,13.285196574035757,13.707918435249052
VorsichtPassAuf,20,SIGNAL4D_v5,False,38.03650933877683,7.379069327865137,10.562612979362775,29.849953675200982,39.51540552752501,26.19661331116049,7.379069327865137,10.562612979362775
Waschen,26,SIGNAL4D_v5,False,46.48485582121959,18.706504853313483,13.177894140049165,34.14387099952069,48.909264331442046,29.926064645927383,18.706504853313483,13.177894140049165
Widerspruch,18,SIGNAL4D_v5,False,44.265807581415125,22.001844423140163,14.264300522627716,36.85239281221997,51.89078838509004,32.56834219327776,22.001844423140163,14.264300522627716
Ziel,11,SIGNAL4D_v5,False,39.41894713478027,13.260695427133493,11.400532948355615,24.053711112331108,32.164646351770514,21.19918194180046,13.260695427133493,11.400532948355615
reparieren,11,SIGNAL4D_v5,False,43.599073215146014,14.553271461262984,14.223726236045472,38.50109865189658,55.26749667440848,33.61122068469222,14.553271461262984,14.223726236045472
