clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,16,M1_alpha1p5,False,43.41200017143427,10.533682126322551,11.628550865114077,37.11885336247424,57.64641381243478,31.625617009789416,10.533682126322551,11.628550865114077
Akzeptieren,8,M1_alpha1p5,False,42.64724914543332,8.705271466664733,8.97023449520349,33.91469608547972,43.85111637068465,29.966598295690545,8.705271466664733,8.970234495203492
Arzt,21,M1_alpha1p5,False,44.351998313909505,15.042734096088598,9.506235200864417,29.521256168973917,38.884638966116505,26.385857808036526,15.042734096088598,9.506235200864419
AufgebenResignieren,12,M1_alpha1p5,False,42.632180389600414,9.268428124404476,8.415613357637222,32.1054833297269,44.394415060062066,27.951196336278617,9.268428124404476,8.415613357637222
AusgebenGeldVerschwenden,7,M1_alpha1p5,False,39.75658317487375,8.781407354022884,13.08313355281438,27.37140342459503,41.91529520789349,23.486691601158928,8.781407354022884,13.08313355281438
Auto,15,M1_alpha1p5,False,39.19163799060736,11.789444162274439,11.50901157442161,27.885487038408947,35.808865919468055,25.069785143923205,11.789444162274439,11.50901157442161
BesuchenEinmischen,17,M1_alpha1p5,False,35.12558106394738,18.966165459241758,12.227026552488711,26.85954930094826,35.748058369047556,24.19555535072767,18.966165459241758,12.227026552488711
Blitz,4,M1_alpha1p5,True,43.51218963161831,,15.765382856824289,40.50067933976065,57.16586171179888,34.970136921196655,,15.765382856824287
Blume,18,M1_alpha1p5,False,41.97650216426247,17.469732079285244,11.863810249011783,29.525432779474695,41.38400757893173,26.446349297707417,17.469732079285244,11.863810249011783
Boese,11,M1_alpha1p5,True,43.40200979753897,,20.12575334278438,34.365037455375585,51.393224445718516,29.889057990144924,,20.12575334278438
BroetchenAufschneiden,22,M1_alpha1p5,False,43.5406953654106,11.669039437754112,15.333148076895146,30.939036642347116,42.207907954089684,27.432857463402183,11.669039437754112,15.333148076895146
Dort,11,M1_alpha1p5,True,41.25329034558146,,10.767752623872584,31.03395566845832,49.96364592708324,26.770652230650004,,10.767752623872585
Duenn,15,M1_alpha1p5,True,42.008823487737864,,13.109567773389054,29.827452874918492,44.38654263341459,26.135588645326216,,13.109567773389054
Einkaufen,6,M1_alpha1p5,False,38.70224825721812,14.803051278048471,26.2244848736435,29.685970235259244,36.401180237334486,26.51777323329476,14.803051278048471,26.2244848736435
Einnehmen,9,M1_alpha1p5,False,36.009001811192384,16.854270480149584,14.226472583123527,27.865254775945967,38.90912646298253,24.855417086014047,16.854270480149584,14.226472583123527
EinstellenJob,14,M1_alpha1p5,False,47.7335182195854,16.08568292706604,9.066702947942007,41.503462881505754,57.740692464665166,36.267436418093574,16.08568292706604,9.066702947942007
EisGefroren,14,M1_alpha1p5,False,42.351799556012274,13.663935122635028,10.331230067468312,32.79245194796921,44.5503890683407,28.64551025202104,13.663935122635028,10.331230067468312
Empathie,26,M1_alpha1p5,False,49.4664204368337,13.32281854045818,13.990225611008412,35.651328418736504,55.30785139326326,30.62265209884964,13.32281854045818,13.990225611008414
Entschuldigung,10,M1_alpha1p5,False,41.86427736674618,11.913153225031737,13.261571623508289,31.672588431171768,46.10700339193603,28.158477203633794,11.913153225031737,13.261571623508289
FestellenDiagnose,14,M1_alpha1p5,False,45.31693826950021,9.3523435044637,13.445570129852594,30.22236453495884,48.15978224485656,25.758975121769243,9.3523435044637,13.445570129852594
Frech,4,M1_alpha1p5,True,42.78269316177215,,10.99010964031019,31.49833703918642,42.42473711425564,28.37948437244757,,10.990109640310193
Frieren,18,M1_alpha1p5,False,41.066486556797386,10.447579286582776,13.053757174877436,28.921030343592616,34.513967173825534,26.40655135448062,10.447579286582776,13.053757174877436
Frisch,14,M1_alpha1p5,False,50.476377161908665,9.706175305513494,8.729823732089576,39.54804222330847,40.3470437386532,36.80004197126939,9.706175305513494,8.729823732089574
Froh,13,M1_alpha1p5,False,49.950495716056466,10.703205961287328,8.944124426197506,44.04892452997982,53.81347018832007,39.53554875456754,10.703205961287326,8.944124426197506
Glas,34,M1_alpha1p5,False,39.91979457064789,19.08755365665481,14.376433869000282,28.79463591657143,40.287603736552974,25.47056958211309,19.08755365665481,14.376433869000282
IdiomPffIgnorieren,16,M1_alpha1p5,False,47.0873690998123,19.402135976728957,11.607892420557388,29.6825540133988,42.368474546592765,25.996831718382108,19.40213597672896,11.607892420557388
Jahr,10,M1_alpha1p5,True,43.17567233345121,,13.536250091766608,38.973180528021736,55.99011842338126,33.32140353598876,,13.536250091766604
Klar,14,M1_alpha1p5,True,37.773058010924494,,8.936074615134816,29.068510889551106,38.80140955676107,25.5409528440071,,8.936074615134816
Kochen,14,M1_alpha1p5,False,37.636489149729414,14.981710543171845,13.106635825437262,25.054110949222064,33.86248746160917,22.57042857660358,14.981710543171845,13.106635825437262
Lesen,18,M1_alpha1p5,False,38.77311427374414,9.680988021074022,11.41600579191796,30.25827665805383,40.100374493377984,26.69203122455772,9.680988021074022,11.416005791917962
LiebBitte,16,M1_alpha1p5,True,47.919168692506645,,11.840736938295729,41.96751289684248,51.643784369037675,37.13929336373272,,11.840736938295729
Luegen,6,M1_alpha1p5,True,39.731016377911125,,12.346237417889212,30.125162015390902,39.76292363858869,26.893635726359275,,12.346237417889212
Muell,6,M1_alpha1p5,True,39.146273170927664,,11.381862529975079,28.97345003056164,40.63132745318416,25.651114665388004,,11.381862529975079
Mutter,11,M1_alpha1p5,True,46.40940101079499,,8.338813511849791,36.80936001069609,49.54983820219493,32.41954038835957,,8.338813511849791
