clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,16,M1_alpha3,False,44.172904260531965,10.407084621824382,11.636528179487712,37.872818255222846,58.92908359120334,32.3043771898097,10.407084621824382,11.636528179487712
Akzeptieren,8,M1_alpha3,False,42.659994512641624,11.223370632205219,8.976927193819193,33.901860732680575,43.09538333352246,30.056370388639323,11.223370632205219,8.976927193819193
Arzt,21,M1_alpha3,False,45.282730637954465,18.40189369702104,9.499650375788164,30.880154329925954,41.08505113638561,27.536249318188872,18.40189369702104,9.499650375788164
AufgebenResignieren,12,M1_alpha3,False,42.839667216476016,12.635466325305485,8.428087058336528,32.339873128261445,44.54157325658142,28.190474945003142,12.635466325305481,8.42808705833653
AusgebenGeldVerschwenden,7,M1_alpha3,False,40.20342130400669,10.41016099598865,13.106002348164468,28.312274932177896,42.351016729679664,24.40241816146165,10.41016099598865,13.106002348164468
Auto,15,M1_alpha3,False,39.78273103294191,13.968344020219805,11.500698336909696,28.775704303110487,36.71254954369015,25.89529656548165,13.968344020219806,11.500698336909696
BesuchenEinmischen,17,M1_alpha3,False,36.302318117853446,19.27664658218971,12.227297381155752,28.66303760661017,38.13003404158239,25.799081367262026,19.27664658218971,12.227297381155754
Blitz,4,M1_alpha3,True,43.417749855077886,,15.7666796649501,40.381839422831334,56.95682714925338,34.869370798469006,,15.7666796649501
Blume,18,M1_alpha3,False,42.91629918192106,18.344059133335502,11.851298151216888,30.950205637817376,43.22586095576052,27.786240483927894,18.3440591333355,11.851298151216886
Boese,11,M1_alpha3,True,43.28822898625595,,20.12843457841976,34.22264715385202,51.12359352518726,29.757567615089226,,20.12843457841976
BroetchenAufschneiden,22,M1_alpha3,False,44.144548222434615,13.60806391576674,15.340580703319747,31.978355314435536,43.249246220564444,28.388712910731712,13.60806391576674,15.340580703319747
Dort,11,M1_alpha3,True,41.1241665165048,,10.7631629297497,30.855802748634172,49.66092216137269,26.635544615798427,,10.7631629297497
Duenn,15,M1_alpha3,True,41.905364059687685,,13.110269297156911,29.699730422215552,44.15298832459443,26.02875427758935,,13.110269297156911
Einkaufen,6,M1_alpha3,False,38.977327794422614,14.445881123466528,26.244166409282343,30.2528280739248,35.861305722712515,27.16504957740817,14.445881123466528,26.244166409282343
Einnehmen,9,M1_alpha3,False,36.71977133505269,17.54143719457925,14.23938977187364,28.954961322219138,40.35564546005394,25.8125587012509,17.541437194579252,14.23938977187364
EinstellenJob,14,M1_alpha3,False,48.59450350514474,17.873289005238767,9.068988197483307,42.64088074529284,59.760800232518655,37.24150190376507,17.873289005238767,9.068988197483307
EisGefroren,14,M1_alpha3,False,43.233403759941666,16.402928344670944,10.326404807297166,34.20829397630135,46.490507239533784,29.84956429077621,16.402928344670944,10.326404807297166
Empathie,26,M1_alpha3,False,50.197245885394665,16.679017842219505,13.997164853330151,36.518772592366886,55.99326963018359,31.413868168646506,16.679017842219505,13.99716485333015
Entschuldigung,10,M1_alpha3,False,42.2886188228673,14.671429274225128,13.266778791652474,32.27859557729573,46.585472739192696,28.70211320828354,14.671429274225128,13.266778791652474
FestellenDiagnose,14,M1_alpha3,False,45.05569817203582,11.548910536594644,13.469705096844297,29.910704795868963,47.05813040837289,25.556101017749615,11.548910536594644,13.469705096844297
Frech,4,M1_alpha3,True,42.621362052951966,,10.9895701727003,31.249275721759094,41.963034950040544,28.174313540435215,,10.9895701727003
Frieren,18,M1_alpha3,False,41.66579717598299,12.674879497006527,13.06338634087951,29.738675615316588,35.13181475225216,27.17165654038919,12.674879497006527,13.06338634087951
Frisch,14,M1_alpha3,False,50.83118773096448,14.226810321503484,8.731723974253862,40.111995430905,41.546407788189505,37.245833312012756,14.226810321503484,8.731723974253862
Froh,13,M1_alpha3,False,50.07517485319833,14.468328574722456,8.938643318157135,44.1545805886509,53.45608077737052,39.70251938931675,14.468328574722456,8.938643318157135
Glas,34,M1_alpha3,False,40.591827128979666,20.587085592652677,14.379345523379124,29.708472532540544,41.83229553359116,26.232170446990462,20.587085592652677,14.379345523379126
IdiomPffIgnorieren,16,M1_alpha3,False,47.69317204257443,21.328769216820685,11.60883244028546,30.852906114602796,43.77087076240301,27.03717784064396,21.328769216820685,11.608832440285461
Jahr,10,M1_alpha3,True,43.126610827254,,13.543502714157592,38.884209193235236,55.86722743164548,33.271832463776256,,13.543502714157592
Klar,14,M1_alpha3,True,37.7524329716835,,8.941659464903857,29.0273899720134,38.74740121182981,25.520683735592083,,8.941659464903859
Kochen,14,M1_alpha3,False,38.79635634890916,19.27762791800575,13.089771633592033,27.068536490690583,36.61327465476694,24.32907371817686,19.27762791800575,13.089771633592033
Lesen,18,M1_alpha3,False,39.28098873048533,12.867956075484216,11.41102582704358,31.02997612130302,41.471808373048475,27.341302508624477,12.867956075484216,11.41102582704358
LiebBitte,16,M1_alpha3,True,47.84107538012464,,11.84753175123134,41.86473558037978,51.463097341386366,37.0408518600844,,11.84753175123134
Luegen,6,M1_alpha3,True,39.64273068543912,,12.347125368163782,29.980866748719407,39.505468211208004,26.776679776599014,,12.347125368163782
Muell,6,M1_alpha3,True,38.968014597779494,,11.396870277273031,28.70158302712464,40.19692885461893,25.425181973799226,,11.396870277273031
Mutter,11,M1_alpha3,True,46.2622287185362,,8.340029024286268,36.5929098434957,49.17747244548712,32.239407452649054,,8.340029024286268
Naehen,15,M1_alpha3,False,38.03108904214022,18.539502603497223,10.872816571677276,27.28731771888454,37.03682292131761,24.308945691275202,18.539502603497223,10.872816571677276
Nebel,7,M1_alpha3,False,46.25555362888779,17.994609948039415,10.597027296608626,40.312656790617424,60.03552341550482,34.97931318883733,17.994609948039415,10.597027296608626
Neu,18,M1_alpha3,False,42.31343615750083,21.853449777036275,10.565756879004795,32.35442916065725,46.36281715044804,28.768619908930173,21.85344977703628,10.565756879004793
Operieren,19,M1_alpha3,False,40.50830860924402,17.884141051286907,10.646503466966257,32.22622861940965,44.21446891977418,28.23971467681463,17.884141051286907,10.646503466966257
Regen,5,M1_alpha3,False,46.99220084712321,15.552039941237556,12.25696269546228,45.30714594578643,50.302731477150644,40.880058877885354,15.552039941237556,12.25696269546228
SauerWuetend,11,M1_alpha3,True,44.60801675520204,,10.880708773026862,34.69728302388094,44.793879568740685,30.94908151180898,,10.880708773026862
Schreiben,11,M1_alpha3,False,46.334622526681066,9.720120778402514,10.611378456836059,39.47527727371318,53.65368903405843,34.60222348589388,9.720120778402514,10.611378456836059
Schwach,14,M1_alpha3,False,53.7717980237713,12.347822599589572,11.062017577540175,53.25546572999698,61.07786858288166,47.957942940049,12.347822599589572,11.062017577540175
