clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,SIGNAL4D_v5,False,45.56697467321094,9.161933578010602,11.563252962680455,30.145469051187455,48.30867419462594,25.724079101459154,9.161933578010604,11.563252962680455
Akzeptieren,31,SIGNAL4D_v5,False,40.701342716176484,7.333893457001103,6.133617491399109,27.411975490092487,34.596437251897,24.346034711185865,7.333893457001103,6.133617491399109
Arzt,21,SIGNAL4D_v5,False,45.84877498576995,8.854821704428728,7.698907644822751,21.635756244557992,31.242257401481105,19.233570808970082,8.854821704428728,7.698907644822751
AufgebenResignieren,34,SIGNAL4D_v5,False,41.86472609485138,9.931525091604115,11.984983492122467,30.305702111949792,39.557079444884366,26.975025323530144,9.931525091604115,11.984983492122467
AusgebenGeldVerschwenden,19,SIGNAL4D_v5,False,40.36760393736419,8.36760478136405,12.60738846993625,25.440449155154845,38.032834081881845,22.1642277973116,8.36760478136405,12.60738846993625
Auto,35,SIGNAL4D_v5,False,37.335433692303894,11.059849749132079,12.486192879179137,24.55714608558752,35.94400429809479,21.7207138749278,11.059849749132079,12.486192879179137
BesuchenEinmischen,19,SIGNAL4D_v5,False,37.65657139723016,15.411167284735942,11.602982158727718,24.807272464647447,35.16827879248484,22.29568040550842,15.411167284735942,11.602982158727718
Blitz,24,SIGNAL4D_v5,True,37.724606834592755,,13.230467450748407,29.00009898949045,42.64110944863552,25.096448895291246,,13.230467450748407
Blume,21,SIGNAL4D_v5,False,44.533567245274675,15.119621023070707,10.389104666125522,27.98373035099706,37.156779418749295,25.527828984077992,15.119621023070708,10.389104666125522
Boese,19,SIGNAL4D_v5,True,43.599339783752036,,20.208678349458307,36.227988754252756,53.75386656071107,31.586532716441287,,20.208678349458307
BroetchenAufschneiden,48,SIGNAL4D_v5,False,43.26341704375028,11.851421609997017,11.915600124854967,31.767075689100697,42.89121832563975,27.917941241627975,11.851421609997013,11.915600124854963
Dort,13,SIGNAL4D_v5,True,37.302415830035464,,11.241658524055612,27.116634381782816,42.885142825842664,23.25029787016905,,11.241658524055612
Duenn,23,SIGNAL4D_v5,True,40.24657707588921,,14.959506398819125,27.553498407278795,39.30757916010052,24.534279215896305,,14.959506398819125
Einkaufen,21,SIGNAL4D_v5,False,40.20565803578498,9.921121967710956,14.799013566431451,23.18464255145089,32.18153583481316,20.90213000280741,9.921121967710958,14.799013566431448
Einnehmen,31,SIGNAL4D_v5,False,41.90529198422686,13.867437256759217,12.983955804756706,33.980436079443436,39.644498503337125,30.827968748672788,13.867437256759217,12.983955804756707
EinstellenJob,34,SIGNAL4D_v5,False,39.52797777370687,12.103475942430995,8.768571042944133,26.781474314255075,38.48019067120049,23.414557101053205,12.103475942430995,8.768571042944133
EisGefroren,30,SIGNAL4D_v5,False,39.88435726924575,10.514487508131593,10.598011524374503,28.45849378296784,39.58092183402323,24.833225551247335,10.514487508131593,10.598011524374503
Empathie,23,SIGNAL4D_v5,False,45.30166307221315,10.932734765124218,10.515619926419902,32.55378085305572,48.17019815383204,28.558047189426006,10.932734765124216,10.515619926419902
Entschuldigung,31,SIGNAL4D_v5,False,36.17886868642853,12.474421196250375,15.084533551738899,21.98973482767359,32.45477291165852,19.72693768680959,12.474421196250379,15.084533551738899
FestellenDiagnose,28,SIGNAL4D_v5,False,50.584629945914436,10.734167763593046,13.057157108361176,27.197368761856588,41.70048939014072,23.4307662442314,10.734167763593046,13.057157108361178
Frech,25,SIGNAL4D_v5,True,47.177467676685076,,12.623476585531902,39.7111722123681,51.18158240757003,35.46617003152803,,12.623476585531902
Frieren,19,SIGNAL4D_v5,False,39.06362191103891,10.501824246469146,13.049182636027579,26.370371989274393,35.316697639151684,23.713283832116282,10.501824246469146,13.049182636027579
Frisch,26,SIGNAL4D_v5,False,51.43349398177622,13.299733650495078,12.248512427641582,41.4536249088756,43.357961813986634,38.220119450803985,13.299733650495078,12.248512427641584
