clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,16,A1,False,43.04382096208268,14.896416524727567,11.620150492946308,36.97149263898672,56.95329531873535,31.523046051095275,14.896416524727567,11.620150492946308
Akzeptieren,8,A1,False,42.82191692193413,8.585589989709986,8.962971521539785,34.203766492819234,44.97963359789568,30.147033071505767,8.585589989709987,8.962971521539785
Arzt,21,A1,False,44.0498637756797,13.973456998840922,9.522016373455736,29.17874143815715,38.27998070228051,26.092568968577332,13.973456998840922,9.522016373455736
AufgebenResignieren,12,A1,False,42.842023786048806,10.087060290850182,8.404778142973123,32.68427036733545,45.27377232658633,28.40888428166706,10.08706029085018,8.404778142973123
AusgebenGeldVerschwenden,7,A1,False,40.234990298924195,13.143594775610536,13.060809490100924,27.939977763329477,43.08989659082887,23.94271324085107,13.14359477561054,13.060809490100922
Auto,15,A1,False,39.253162455453015,11.069237974932909,11.518267709562702,27.97160835181891,36.35244148238141,25.04007637125286,11.069237974932909,11.518267709562702
BesuchenEinmischen,17,A1,False,34.80150712899913,20.320188566113256,12.227218307490618,26.424493145054914,35.64605251357142,23.71767783563094,20.320188566113256,12.227218307490618
Blitz,4,A1,True,43.60838091067144,,15.765794129101234,40.623781897018304,57.366785932078486,35.07982586934065,,15.765794129101234
Blume,18,A1,False,41.914993184898435,19.33777175051485,11.87760913098845,29.470135818890785,41.60460740040958,26.25021468734892,19.337771750514847,11.87760913098845
Boese,11,A1,True,43.51130204660788,,20.123495872501557,34.52611514085111,51.67320132260509,30.017278308301897,,20.123495872501557
BroetchenAufschneiden,22,A1,False,43.40278100851441,12.036051303475329,15.326010495062782,30.77892531590653,42.128383181948486,27.25945755450217,12.036051303475329,15.326010495062787
Dort,11,A1,True,41.365587156639826,,10.773304830784928,31.20776035415433,50.25872670439639,26.920335038229187,,10.773304830784928
Duenn,15,A1,True,42.11155141594557,,13.109519063880539,29.962320250998456,44.62785467442394,26.247368116193844,,13.109519063880539
Einkaufen,6,A1,False,39.2066325869123,18.71923711332459,26.21353981610729,30.38478938735982,38.790508986497514,26.96880702246776,18.719237113324592,26.21353981610729
Einnehmen,9,A1,False,35.755345392937514,17.849056017129378,14.21533545489638,27.506178725724666,38.541894707294006,24.496679556262322,17.849056017129378,14.21533545489638
EinstellenJob,14,A1,False,47.330150670924205,17.920739305337154,9.064910521277024,41.03180034523281,56.55197199085431,35.87734961490919,17.920739305337154,9.064910521277024
EisGefroren,14,A1,False,41.74175566461944,12.603192240664924,10.336081863040624,31.812328623541994,43.39429194364259,27.814044551904907,12.603192240664924,10.336081863040624
Empathie,26,A1,False,49.45821713792729,13.592534237858295,13.991248887899486,35.77052911336112,55.867572705618805,30.67940636562259,13.592534237858295,13.991248887899486
Entschuldigung,10,A1,False,41.87373432669665,12.177420658483289,13.25678146042342,31.707552391234174,46.514281896443535,28.16246134965674,12.177420658483289,13.25678146042342
FestellenDiagnose,14,A1,False,45.785610192648,11.432265100067724,13.421867122038739,30.804075214142024,49.51260478525745,26.21105630924561,11.432265100067726,13.421867122038739
Frech,4,A1,True,42.94774274160489,,10.991189956573379,31.734761684845857,42.88552511519039,28.5855816193407,,10.991189956573383
Frieren,18,A1,False,41.055445762854816,9.703137115498645,13.044814592992928,28.95155095450846,35.359471730912226,26.32822404342559,9.703137115498642,13.04481459299293
Frisch,14,A1,False,50.34121287095493,8.439246342250183,8.728781686270278,39.33086276545647,40.121822882026414,36.589923963416574,8.439246342250184,8.728781686270278
Froh,13,A1,False,50.2311993241597,10.578951067805427,8.950260261820032,44.564206299432854,55.32516430927085,39.86378055069675,10.57895106780543,8.950260261820032
Glas,34,A1,False,39.782245286965846,18.84065705637647,14.373305645707195,28.62601237262172,40.04729225615034,25.319530956740923,18.84065705637647,14.373305645707196
IdiomPffIgnorieren,16,A1,False,46.964919077760314,18.435207490151107,11.614009415825166,29.325250376092654,42.05467716498241,25.669720891315592,18.435207490151107,11.614009415825166
Jahr,10,A1,True,43.23775291572243,,13.530486529450348,39.049693263130145,56.12508796850608,33.401089626155304,,13.530486529450348
Klar,14,A1,True,37.80691832271067,,8.930941723053495,29.10859762644808,38.87418024406769,25.582887012161624,,8.930941723053495
Kochen,14,A1,False,37.50039757529769,13.336136692567743,13.125484410250126,24.78509843648958,33.81093630019818,22.27492831294297,13.336136692567743,13.125484410250124
Lesen,18,A1,False,38.99823937011906,10.48421516877409,11.42088708568641,30.863561457204682,40.98032236094744,27.192120355040707,10.48421516877409,11.42088708568641
LiebBitte,16,A1,True,48.00035439570621,,11.835972023638663,42.08672952018749,51.84955394055785,37.23021365210239,,11.835972023638663
Luegen,6,A1,True,39.818963343753545,,12.347171436147654,30.253249472358338,40.01136945623403,27.007488787025206,,12.347171436147654
Muell,6,A1,True,39.32918069478209,,11.367786612212008,29.243687424012492,41.075875685435825,25.876652106560112,,11.36778661221201
Mutter,11,A1,True,46.54637616928074,,8.338148684329896,37.03091116566244,49.939690570670706,32.58525362003165,,8.338148684329896
Naehen,15,A1,False,37.28732159802213,16.605861489039025,10.886484006355435,26.05500015131123,36.43496828787519,23.00508937959634,16.60586148903902,10.886484006355435
Nebel,7,A1,False,46.34544590820193,10.001798106400312,10.577354181697899,40.371497565212,60.00783599073223,35.09252674865177,10.001798106400313,10.577354181697899
Neu,18,A1,False,40.05414719980366,19.3294066888424,10.574045406558824,28.874161461439396,42.24718214467092,25.753862547518157,19.329406688842408,10.574045406558822
Operieren,19,A1,False,39.64119772503327,15.532000264534693,10.65555813671117,30.940502672614684,42.91239179243207,27.073675553244286,15.532000264534693,10.655558136711166
Regen,5,A1,False,46.181246986722385,13.061367767227953,12.239617321038459,44.4737424011683,50.5373281871661,39.96450017476945,13.061367767227953,12.239617321038459
SauerWuetend,11,A1,True,44.82093794882893,,10.873900771712067,35.019459755695,45.34373287225076,31.207856212157687,,10.873900771712067
Schreiben,11,A1,False,45.41796450827331,14.028020487465689,10.596702195400097,38.26080472121728,52.41382766270261,33.493138434041015,14.028020487465692,10.596702195400095
Schwach,14,A1,False,53.55804903201912,11.6379812243829,11.05098131826348,53.04045902884819,60.9278533769973,47.77689819539961,11.6379812243829,11.05098131826348
Schwer,14,A1,False,41.35781062220082,11.72038045395416,12.135296525949821,30.33088073741526,38.1746063777612,27.391329088598745,11.72038045395416,12.135296525949823
Sonne,14,A1,True,41.68358015399546,,40.45064155722912,34.552857231782106,53.48590568367921,29.499694510108213,,40.45064155722912
Sorry,14,A1,True,42.891035822880795,,13.695794916965635,34.4913208945166,45.49177214095984,30.171214257222868,,13.695794916965635
SparenSparsam,9,A1,False,39.268362131970456,20.341312847410983,11.25771900620016,29.689210579485064,41.2696043150656,26.117846739109183,20.341312847410983,11.257719006200162
Spezial,14,A1,False,39.435928240059276,11.067887720661563,11.544850386398512,29.8580322702372,37.694530550104616,26.71042961675513,11.067887720661563,11.544850386398512
Tisch,21,A1,False,53.846016582739864,12.889004992803414,20.471524216892508,50.653055532037605,72.14625971395107,43.87841066571491,12.889004992803414,20.47152421689251
Treffen,14,A1,False,44.53075856624155,19.896734864101564,11.395963457449314,29.688712244312992,35.50384899181514,26.595416271181012,19.896734864101564,11.395963457449314
Vater,12,A1,True,41.97558908290787,,11.407896937406237,34.690699299520325,48.88697942625342,30.099148531799752,,11.407896937406237
Verschieden,7,A1,False,41.345800861703765,13.285349495054385,13.70769709848796,36.10006725633013,49.60101595927231,31.529643360823798,13.285349495054385,13.70769709848796
