clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,16,SIGNAL4D_v5,False,43.24005142033535,11.708742314025121,11.62556464578023,36.98605246341209,57.34681805858081,31.52510506961672,11.70874231402512,11.62556464578023
Akzeptieren,8,SIGNAL4D_v5,False,42.82191692193413,8.585589989709986,8.962971521539785,34.203766492819234,44.97963359789568,30.147033071505767,8.585589989709987,8.962971521539785
Arzt,21,SIGNAL4D_v5,False,44.184205946331,14.392632123289042,9.508422822728502,29.296918723045923,38.50313599464827,26.196042586372407,14.392632123289042,9.508422822728503
AufgebenResignieren,12,SIGNAL4D_v5,False,42.6655701150131,8.909305339238577,8.412132281513538,32.214673782623116,44.584729534347815,28.024629272634417,8.909305339238577,8.412132281513538
AusgebenGeldVerschwenden,7,SIGNAL4D_v5,False,39.74913510826783,8.782306534208486,13.083355567951157,27.37611372778756,41.91585279654758,23.49545927355162,8.782306534208486,13.083355567951157
Auto,15,SIGNAL4D_v5,False,39.253162455453015,11.069237974932909,11.518267709562702,27.97160835181891,36.35244148238141,25.04007637125286,11.069237974932909,11.518267709562702
BesuchenEinmischen,17,SIGNAL4D_v5,False,34.91313874193203,19.276846334486194,12.227333117751957,26.543995513911796,35.44225298256636,23.88998990594005,19.276846334486198,12.227333117751956
Blitz,4,SIGNAL4D_v5,True,43.421084710250824,,15.766631896390692,40.38514764869966,56.95683762433165,34.87950754356313,,15.766631896390688
Blume,18,SIGNAL4D_v5,False,41.85255901679769,17.891960039014947,11.868310594417071,29.324555527287504,41.230527916994674,26.21732829434303,17.891960039014954,11.868310594417073
Boese,11,SIGNAL4D_v5,True,43.29307965752378,,20.127892082966426,34.20932332387804,51.12397348446358,29.761162183890374,,20.127892082966426
BroetchenAufschneiden,22,SIGNAL4D_v5,False,43.438693415904616,11.543596226266741,15.330919221598084,30.792022980870055,42.07827337798094,27.28395030682663,11.543596226266741,15.330919221598084
Dort,11,SIGNAL4D_v5,True,41.120898132085905,,10.763581371797603,30.85597470290344,49.66098704725105,26.631520272341245,,10.763581371797605
Duenn,15,SIGNAL4D_v5,True,41.90186064198686,,13.110163487074251,29.69764705372435,44.153013346193575,26.025623381440955,,13.110163487074251
Einkaufen,6,SIGNAL4D_v5,False,38.785609136437934,15.848160191372186,26.218310490448847,29.781847281145776,37.0209692195539,26.54886644682219,15.848160191372186,26.218310490448847
Einnehmen,9,SIGNAL4D_v5,False,35.86872376507338,17.037104993517556,14.22252476000424,27.647473622163822,38.65340924915088,24.65176212823735,17.037104993517556,14.22252476000424
