clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,SIGNAL4D_v6,False,45.56697467321094,9.161933578010602,11.563252962680455,30.145469051187455,48.30867419462594,25.724079101459154,9.161933578010604,11.563252962680455
Akzeptieren,31,SIGNAL4D_v6,False,40.649018586119894,7.298866826329029,6.0896612648843895,27.287438666305867,34.41225372870352,24.246588501963423,7.298866826329029,6.0896612648843895
Arzt,21,SIGNAL4D_v6,False,45.84877498576995,8.854821704428728,7.698907644822751,21.635756244557992,31.242257401481105,19.233570808970082,8.854821704428728,7.698907644822751
AufgebenResignieren,34,SIGNAL4D_v6,False,41.77912772385349,9.918713679401199,11.8683094289192,30.134288573000532,39.30193159617178,26.83047732128172,9.918713679401199,11.868309428919199
AusgebenGeldVerschwenden,19,SIGNAL4D_v6,False,40.38003655590433,8.331878267327877,12.397843633414473,25.33458663795006,37.70007770914615,22.104067897368246,8.331878267327877,12.39784363341447
Auto,35,SIGNAL4D_v6,False,37.33494577522576,11.06531177076004,12.487336546294403,24.539035933185325,35.91960261073208,21.7075719008103,11.065311770760042,12.487336546294403
BesuchenEinmischen,19,SIGNAL4D_v6,False,37.6477303793989,15.348542916865771,11.166879109928713,24.82247695369666,35.058177620152264,22.345857891435013,15.348542916865767,11.166879109928713
Blitz,24,SIGNAL4D_v6,True,37.5733847622242,,13.246366054952157,28.721072666403245,41.99509118810111,24.885600116002053,,13.246366054952157
Blume,21,SIGNAL4D_v6,False,44.676731664792776,15.118162429598415,10.410051542133356,28.24729771399731,37.737322399623885,25.726256381985834,15.118162429598415,10.41005154213336
Boese,19,SIGNAL4D_v6,True,43.633882952838896,,20.25990126946392,36.282780234109794,53.864262796691925,31.63112343391068,,20.25990126946392
BroetchenAufschneiden,48,SIGNAL4D_v6,False,43.26341704375028,11.851421609997017,11.915600124854967,31.767075689100697,42.89121832563975,27.917941241627975,11.851421609997013,11.915600124854963
Dort,13,SIGNAL4D_v6,True,37.217788211448344,,11.27769831244768,26.997055310258478,42.122032715854104,23.195594858799417,,11.27769831244768
Duenn,23,SIGNAL4D_v6,True,40.22853582804093,,14.95621467921274,27.5214858228101,39.25157603045275,24.508336534207952,,14.95621467921274
Einkaufen,21,SIGNAL4D_v6,False,40.21115075658996,9.921604139887862,14.80763070319262,23.208056212871934,32.183770454593734,20.928459297810985,9.921604139887862,14.807630703192618
Einnehmen,31,SIGNAL4D_v6,False,41.59066029707907,13.999407232103033,12.958582224462583,33.449976871889426,38.977560599776446,30.376655627187247,13.999407232103032,12.958582224462583
EinstellenJob,34,SIGNAL4D_v6,False,39.395498903359396,11.531392281873087,8.302450044679082,26.275349321807354,37.467357477646985,23.06770719021699,11.531392281873085,8.302450044679082
EisGefroren,30,SIGNAL4D_v6,False,39.64860976271785,10.451329658585252,10.336299231297676,28.02590260055028,39.03185959411515,24.4602113768196,10.451329658585252,10.336299231297676
Empathie,23,SIGNAL4D_v6,False,45.32978740864974,11.016374321377159,10.494732763443565,32.51281255415438,48.05593299202918,28.536953496256764,11.016374321377157,10.494732763443565
Entschuldigung,31,SIGNAL4D_v6,False,36.109204773459155,12.246191813160522,14.880466552950606,21.881400292318467,32.06626605973671,19.689056065589693,12.246191813160523,14.880466552950606
FestellenDiagnose,28,SIGNAL4D_v6,False,50.580888751756845,10.714996046019618,13.020375220396033,27.177668759373933,41.68949090291104,23.415208451902494,10.71499604601962,13.020375220396035
Frech,25,SIGNAL4D_v6,True,47.11986783488454,,12.594492604671911,39.67028092335318,50.822539636498504,35.456077331500495,,12.594492604671911
Frieren,19,SIGNAL4D_v6,False,39.06362191103891,10.501824246469146,13.049182636027579,26.370371989274393,35.316697639151684,23.713283832116282,10.501824246469146,13.049182636027579
Frisch,26,SIGNAL4D_v6,False,51.38414524834685,13.272596613243463,12.214878638178213,41.331127995755,43.15953212534317,38.12161961507664,13.272596613243463,12.214878638178218
Froh,30,SIGNAL4D_v6,False,50.32274062268632,9.98529729865859,10.660829100835237,39.97936086585601,46.81829431863217,36.1612441415308,9.98529729865859,10.660829100835237
Glas,18,SIGNAL4D_v6,False,35.91243366499075,11.988424251772848,13.29650877948039,23.633094537242904,32.07436210157912,21.321099498107085,11.988424251772848,13.296508779480394
IdiomPffIgnorieren,16,SIGNAL4D_v6,False,47.54983662725181,13.20454158532775,12.859716550715227,21.143777862653153,33.26462073395892,18.164323957695643,13.20454158532775,12.859716550715227
Jahr,40,SIGNAL4D_v6,True,38.2991595197405,,13.38497781151543,32.2900045742638,45.49733349221797,28.163603642098998,,13.384977811515427
Klar,16,SIGNAL4D_v6,True,42.447904647472114,,12.557963356536375,36.06985208601654,48.970170539565544,31.562216149877834,,12.557963356536376
Kochen,46,SIGNAL4D_v6,False,38.21479604862424,10.62806592160529,15.548852242630572,23.48378462789899,35.34486725881148,20.629902228636976,10.628065921605291,15.548852242630572
Lesen,31,SIGNAL4D_v6,False,42.57592026217088,9.624976644532497,11.122975088946422,28.890785740662746,45.600913259395774,24.797305236852917,9.624976644532493,11.122975088946422
LiebBitte,14,SIGNAL4D_v6,True,53.330942912213594,,13.837401078118008,47.7395221353179,59.01555058710842,42.215914063581295,,13.837401078118006
Luegen,17,SIGNAL4D_v6,True,47.041263399613506,,13.342230490431133,38.14075130018751,49.90222619225591,33.8681470835601,,13.342230490431133
Muell,15,SIGNAL4D_v6,True,43.518811351427274,,15.440640974209575,29.22453829013385,42.1293929986735,26.012006582547766,,15.440640974209575
Mutter,24,SIGNAL4D_v6,True,47.345102077224226,,9.235855039233057,38.10154469820146,52.427917915702636,33.39398768376906,,9.235855039233057
Naehen,44,SIGNAL4D_v6,False,38.310632382279806,15.18972051878377,10.046363486593917,22.19474104859043,30.6659376152885,19.84067636637782,15.18972051878377,10.046363486593915
Nebel,39,SIGNAL4D_v6,False,38.94159322401002,9.666757031061687,10.319413661133202,26.13183172576934,34.67879090618088,23.185623707570123,9.666757031061687,10.319413661133202
Neu,13,SIGNAL4D_v6,False,41.747911334701044,13.354047127861376,10.556226170043523,28.632661050183234,40.271181393675434,25.6928146008499,13.354047127861374,10.556226170043523
Operieren,31,SIGNAL4D_v6,False,36.80807442579186,12.73443645601052,9.248142244384601,23.057948889392065,34.454269025032566,20.254425601688407,12.73443645601052,9.248142244384601
