clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,V5,False,45.57312264955092,9.162042613605918,11.563644371952394,30.146591762073733,48.30865583743671,25.71790166263983,9.162042613605918,11.563644371952394
Akzeptieren,31,V5,False,40.70040772572287,7.333901552115321,6.133537782575698,27.41126861433292,34.59658176665408,24.34713813135302,7.333901552115321,6.133537782575698
AufgebenResignieren,34,V5,False,41.8644939527631,9.931304939456155,11.984978621781437,30.305156320158115,39.556857470577604,26.97432851243046,9.931304939456155,11.984978621781437
AusgebenGeldVerschwenden,19,V5,False,40.3664024708057,8.367652042198108,12.60745805969935,25.44372466437903,38.033548133690466,22.152470632995325,8.36765204219811,12.60745805969935
Auto,35,V5,False,37.33279007158814,11.059986120444446,12.486246294809296,24.558936459541634,35.94406335888046,21.719320790384316,11.059986120444446,12.486246294809296
BesuchenEinmischen,19,V5,False,37.655740887702756,15.411011313379849,11.60310013140358,24.80823526866508,35.16844265608417,22.296393988962464,15.411011313379849,11.60310013140358
Boese,19,V5,True,43.60347268898637,,20.20867114972671,36.22180657558378,53.75388609231265,31.587660058727987,,20.20867114972671
BroetchenAufschneiden,48,V5,False,43.262526388027844,11.851360925934685,11.915539764649859,31.76481930908716,42.89188478132562,27.9180378962195,11.851360925934685,11.915539764649859
Einnehmen,31,V5,False,41.90690619545526,13.86732110380362,12.983968229761041,33.97759195914983,39.64477122952805,30.82271129578027,13.867321103803617,12.98396822976104
Entschuldigung,31,V5,False,36.17772800387926,12.474503301713721,15.084654486807809,21.990007144349118,32.454562826124054,19.7278352947816,12.474503301713721,15.084654486807809
FestellenDiagnose,28,V5,False,50.58272812686213,10.734263975067744,13.057105609747692,27.196243781480327,41.700423278335556,23.429291756709453,10.734263975067744,13.057105609747692
Frieren,19,V5,False,39.064348033425944,10.501780540371211,13.049231495742427,26.372191761533156,35.316654259074,23.712620719774392,10.501780540371211,13.049231495742427
Glas,18,V5,False,35.91168725354298,11.98822328072995,13.296460194429441,23.632316708046552,32.073768711474195,21.323563153745425,11.98822328072995,13.296460194429441
IdiomPffIgnorieren,16,V5,False,47.652227781513034,13.191037949979222,12.814788052303967,21.3009315841691,33.56560454786442,18.266025152479465,13.191037949979222,12.814788052303967
Jahr,40,V5,True,38.35521620173448,,13.300952679460854,32.39799551482787,45.63046173954852,28.25269294122897,,13.300952679460854
Lesen,31,V5,False,42.57348489871632,9.625278002985288,11.122914929854822,28.89208049122877,45.60078803381156,24.79622973274294,9.625278002985288,11.122914929854822
Muell,15,V5,True,43.51960743405236,,15.570804943545218,29.206384811138353,42.31428580452918,25.98106207413595,,15.570804943545218
Nebel,39,V5,False,38.95867131093267,9.67207898634991,10.31248493477787,26.162531334064276,34.71607227251344,23.21316523445072,9.67207898634991,10.312484934777869
Schreiben,44,V5,False,43.92726288271263,10.077730428548772,8.098666637928666,26.688821720819547,39.6508284759891,23.188732303404205,10.077730428548772,8.098666637928666
Schwach,25,V5,False,48.743938907058656,11.021017515581228,10.824578024025648,44.69951917101846,52.15902311855952,40.209369193333345,11.021017515581228,10.824578024025648
reparieren,22,V5,False,43.315970421449876,14.15280632364441,9.985175944411608,24.318867829446642,36.506415672388634,21.54792755255244,14.152806323644414,9.985175944411608
