clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,V5,False,45.57312264955092,9.162042613605918,11.563644371952394,30.146591762073733,48.30865583743671,25.71790166263983,9.162042613605918,11.563644371952394
Akzeptieren,31,V5,False,40.70040772572287,7.333901552115321,6.133537782575698,27.41126861433292,34.59658176665408,24.34713813135302,7.333901552115321,6.133537782575698
Arzt,21,V5,False,45.8421104728154,8.854598355822331,7.698784066813945,21.633347800573862,31.241366580856454,19.227470288500637,8.854598355822331,7.698784066813947
AufgebenResignieren,34,V5,False,41.8644939527631,9.931304939456155,11.984978621781437,30.305156320158115,39.556857470577604,26.97432851243046,9.931304939456155,11.984978621781437
AusgebenGeldVerschwenden,19,V5,False,40.3664024708057,8.367652042198108,12.60745805969935,25.44372466437903,38.033548133690466,22.152470632995325,8.36765204219811,12.60745805969935
Auto,35,V5,False,37.33279007158814,11.059986120444446,12.486246294809296,24.558936459541634,35.94406335888046,21.719320790384316,11.059986120444446,12.486246294809296
BesuchenEinmischen,19,V5,False,37.655740887702756,15.411011313379849,11.60310013140358,24.80823526866508,35.16844265608417,22.296393988962464,15.411011313379849,11.60310013140358
Blitz,24,V5,True,37.72516797712935,,13.230446962535298,28.999298081645904,42.641197910196624,25.09655763060685,,13.230446962535298
Blume,21,V5,False,44.53270737235737,15.119738910959725,10.388991915397812,27.982127950117334,37.156937048580815,25.527675284587296,15.119738910959725,10.38899191539781
Boese,19,V5,True,43.60347268898637,,20.20867114972671,36.22180657558378,53.75388609231265,31.587660058727987,,20.20867114972671
BroetchenAufschneiden,48,V5,False,43.262526388027844,11.851360925934685,11.915539764649859,31.76481930908716,42.89188478132562,27.9180378962195,11.851360925934685,11.915539764649859
Dort,13,V5,True,37.302322995987915,,11.241544611091085,27.116717986527718,42.88528496128145,23.25115785832127,,11.241544611091085
Duenn,23,V5,True,40.242177576523275,,14.959482519391504,27.553031083043912,39.30766235462028,24.534746388381613,,14.959482519391504
Einkaufen,21,V5,False,40.19577206900589,9.921276122301851,14.799011952476164,23.181998302108138,32.181520626024366,20.906060247359527,9.921276122301851,14.799011952476164
Einnehmen,31,V5,False,41.90690619545526,13.86732110380362,12.983968229761041,33.97759195914983,39.64477122952805,30.82271129578027,13.867321103803617,12.98396822976104
EinstellenJob,34,V5,False,39.5278729450705,12.103478024967497,8.768442554835099,26.774733995138817,38.48089193830323,23.410625689502876,12.103478024967497,8.768442554835099
EisGefroren,30,V5,False,39.88264026703164,10.514459107240834,10.597530234748893,28.459883187026886,39.58092502796347,24.833736787614313,10.514459107240834,10.597530234748891
Empathie,23,V5,False,45.296214828275026,10.933283472911501,10.515765445864385,32.546290511563996,48.170020624155995,28.569576381458955,10.933283472911501,10.515765445864387
Entschuldigung,31,V5,False,36.17772800387926,12.474503301713721,15.084654486807809,21.990007144349118,32.454562826124054,19.7278352947816,12.474503301713721,15.084654486807809
FestellenDiagnose,28,V5,False,50.58272812686213,10.734263975067744,13.057105609747692,27.196243781480327,41.700423278335556,23.429291756709453,10.734263975067744,13.057105609747692
Frech,25,V5,True,47.17435667915313,,12.623520214588526,39.71248319031549,51.18203015598256,35.465938349811765,,12.623520214588526
Frieren,19,V5,False,39.064348033425944,10.501780540371211,13.049231495742427,26.372191761533156,35.316654259074,23.712620719774392,10.501780540371211,13.049231495742427
Frisch,26,V5,False,51.42913939666266,13.299169792351249,12.248329388364823,41.45669726217806,43.35811225432577,38.21759801224684,13.299169792351249,12.248329388364825
Froh,30,V5,False,50.27548176733728,9.943854920792216,10.613440951967936,39.92514980764989,46.728594323111416,36.10844994322917,9.943854920792216,10.613440951967936
Glas,18,V5,False,35.91168725354298,11.98822328072995,13.296460194429441,23.632316708046552,32.073768711474195,21.323563153745425,11.98822328072995,13.296460194429441
IdiomPffIgnorieren,16,V5,False,47.652227781513034,13.191037949979222,12.814788052303967,21.3009315841691,33.56560454786442,18.266025152479465,13.191037949979222,12.814788052303967
Jahr,40,V5,True,38.35521620173448,,13.300952679460854,32.39799551482787,45.63046173954852,28.25269294122897,,13.300952679460854
Klar,16,V5,True,42.32613740397109,,12.603730095034681,35.89700381496896,48.696913740151615,31.41483619359925,,12.603730095034681
Kochen,46,V5,False,38.24005156797962,10.570456129094747,15.518127377577285,23.541593940251317,35.46377487047941,20.673087801145904,10.570456129094747,15.518127377577285
Lesen,31,V5,False,42.57348489871632,9.625278002985288,11.122914929854822,28.89208049122877,45.60078803381156,24.79622973274294,9.625278002985288,11.122914929854822
LiebBitte,14,V5,True,53.25444112172935,,13.75462703765794,47.625677313590145,58.72754425972354,42.129725471564996,,13.75462703765794
Luegen,17,V5,True,47.079762632962236,,13.31373044562133,38.1981728478465,49.99238642567501,33.9231047751243,,13.31373044562133
Muell,15,V5,True,43.51960743405236,,15.570804943545218,29.206384811138353,42.31428580452918,25.98106207413595,,15.570804943545218
Mutter,24,V5,True,47.35090782362917,,9.235971540741142,38.09652251644973,52.42795449630253,33.39900648878856,,9.235971540741142
Naehen,44,V5,False,38.31848255810241,15.211484798716038,10.049521535093824,22.205927597676443,30.686490868329585,19.845284693517076,15.211484798716038,10.049521535093826
Nebel,39,V5,False,38.95867131093267,9.67207898634991,10.31248493477787,26.162531334064276,34.71607227251344,23.21316523445072,9.67207898634991,10.312484934777869
Neu,13,V5,False,41.64706307135715,13.34860520658836,10.4741854634138,28.520967133742406,40.00004552274427,25.604136855429086,13.34860520658836,10.4741854634138
Operieren,31,V5,False,36.80749849526557,12.734205120183358,9.248326816593362,23.057819251451118,34.45426846274879,20.253227559248195,12.734205120183358,9.248326816593362
Regen,39,V5,False,40.96932010148136,8.749921901159588,10.938456548658737,32.103035268336434,36.92616684322243,29.130064909386828,8.749921901159588,10.938456548658737
SauerWuetend,22,V5,True,48.86833699636229,,10.237632235536198,37.827414340396615,46.31581392959078,33.69890756197523,,10.237632235536198
Schnee,43,V5,False,35.788784975512655,8.217802404086362,10.757414178736106,27.923767547877244,36.99302407690928,24.732863655622342,8.217802404086362,10.757414178736106
Schreiben,44,V5,False,43.92726288271263,10.077730428548772,8.098666637928666,26.688821720819547,39.6508284759891,23.188732303404205,10.077730428548772,8.098666637928666
Schwach,25,V5,False,48.743938907058656,11.021017515581228,10.824578024025648,44.69951917101846,52.15902311855952,40.209369193333345,11.021017515581228,10.824578024025648
Schwer,21,V5,False,45.58671369575882,13.125463680951228,15.940928781162862,33.5026815909081,43.65234011823851,30.01035554780398,13.125463680951228,15.940928781162865
Sonne,25,V5,True,32.582147283817555,,14.298310846422218,23.328899266603468,34.50168049604087,20.12166225363644,,14.298310846422218
Sorry,26,V5,True,49.45709723143508,,16.317246748511042,39.87490934655549,49.80728826737906,35.508995555888774,,16.317246748511042
SparenSparsam,29,V5,False,39.453446968713905,13.887362500481455,11.358131580425322,28.25822589663739,36.95129548839383,25.315623901336828,13.887362500481457,11.358131580425322
Spezial,20,V5,False,45.209761395298514,10.474851506612733,11.012432950752277,35.71692980168202,40.37235432368754,32.57414092370824,10.474851506612733,11.012432950752276
Tisch,13,V5,False,42.1460708047644,10.860586144064614,9.279505797265385,29.603767403854654,41.09483408794854,25.693233009686477,10.860586144064614,9.279505797265385
Treffen,28,V5,False,43.30808210941643,15.197319129500467,9.68980791246483,24.044892864922186,32.60986500148252,21.01078722346359,15.197319129500467,9.68980791246483
Vater,27,V5,True,43.4603803163555,,10.816773453473708,37.20280595964318,54.293365068538,32.090640795118205,,10.81677345347371
Verschieden,41,V5,False,39.75796461577052,12.069588721893322,13.156847188542631,29.566355357932963,41.114830977693316,25.644628288687777,12.069588721893322,13.156847188542631
VorsichtPassAuf,12,V5,False,43.86780960703805,8.971891386527602,10.363009550191034,31.31823150392711,35.56125280681136,28.3656024685675,8.971891386527602,10.363009550191034
Waschen,29,V5,False,47.040564776479535,19.78220163127204,13.120518162372477,25.797936299951235,41.26657335039658,22.407597467559196,19.78220163127204,13.120518162372477
Widerspruch,14,V5,False,43.9567931190491,15.98613631559285,10.511042147475552,28.876057610911086,43.16100106400187,25.315403039840607,15.98613631559285,10.511042147475552
Ziel,30,V5,False,42.22200774341673,13.622132169617172,12.701412449374352,29.8213998004442,45.70948134226353,25.698856661001255,13.62213216961717,12.701412449374352
reparieren,22,V5,False,43.315970421449876,14.15280632364441,9.985175944411608,24.318867829446642,36.506415672388634,21.54792755255244,14.152806323644414,9.985175944411608
