clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,V6,False,45.57312264955092,9.162042613605918,11.563644371952394,30.146591762073733,48.30865583743671,25.71790166263983,9.162042613605918,11.563644371952394
Akzeptieren,31,V6,False,40.647960178587134,7.298879994251967,6.08960089891572,27.286708196650647,34.4123714009582,24.247850351308024,7.2988799942519655,6.08960089891572
Arzt,21,V6,False,45.8421104728154,8.854598355822331,7.698784066813945,21.633347800573862,31.241366580856454,19.227470288500637,8.854598355822331,7.698784066813947
AufgebenResignieren,34,V6,False,41.77923062925248,9.918716763529309,11.868201636230053,30.133582127929316,39.30167159421398,26.829906381813704,9.918716763529309,11.868201636230053
AusgebenGeldVerschwenden,19,V6,False,40.37857898309262,8.331741339362756,12.397905355806826,25.337061637926464,37.70066182867708,22.09251180844197,8.331741339362756,12.397905355806824
Auto,35,V6,False,37.33191545406775,11.065420915573336,12.487371792734212,24.5407450302674,35.919681667979106,21.706184351415686,11.065420915573336,12.487371792734212
BesuchenEinmischen,19,V6,False,37.64639558326882,15.348221306856056,11.166959980320826,24.82386966396602,35.05813563709961,22.346518971600773,15.348221306856056,11.166959980320826
Blitz,24,V6,True,37.574131852490886,,13.246393326683053,28.72031032208233,41.995294815247995,24.886015398025894,,13.246393326683053
Blume,21,V6,False,44.6769009220031,15.11827393821232,10.410001942365406,28.24582286281737,37.737285502181734,25.72567093138418,15.11827393821232,10.410001942365406
Boese,19,V6,True,43.63836222409285,,20.259861232260203,36.277524879110864,53.8639848274384,31.63298600598657,,20.259861232260203
BroetchenAufschneiden,48,V6,False,43.262526388027844,11.851360925934685,11.915539764649859,31.76481930908716,42.89188478132562,27.9180378962195,11.851360925934685,11.915539764649859
Dort,13,V6,True,37.2177106418188,,11.277597472348326,26.997468463973195,42.122110976090624,23.196384116683173,,11.277597472348326
Duenn,23,V6,True,40.223914652711535,,14.956179262171425,27.521295072532467,39.25166968603336,24.509072138922246,,14.956179262171425
Einkaufen,21,V6,False,40.20169798165915,9.921757557493894,14.807655760489638,23.20521420371279,32.18377138021501,20.93208829255519,9.921757557493894,14.807655760489638
Einnehmen,31,V6,False,41.59243016030517,13.99939364606446,12.958671899208769,33.44712316950489,38.977860918045074,30.372695739820898,13.99939364606446,12.958671899208769
EinstellenJob,34,V6,False,39.39591220143413,11.531149456455111,8.302535195219374,26.269991869083217,37.467485340674116,23.065433329930716,11.531149456455111,8.302535195219374
EisGefroren,30,V6,False,39.64677952021573,10.451325826431345,10.335842121026756,28.026611328803774,39.03145696835754,24.459862821158023,10.451325826431345,10.335842121026754
