clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,W3_RAW,False,45.622736113717714,9.129553381306673,11.320716016374002,30.034552445471522,47.956217721802865,25.658196107049324,9.129553381306673,11.320716016374002
Akzeptieren,31,W3_RAW,False,40.551720765291826,7.20141214942095,6.033416657317685,26.944575753614206,33.45814224911204,24.047443614475988,7.20141214942095,6.033416657317685
Arzt,21,W3_RAW,False,45.69293022001576,8.695465358366164,7.7678780771447835,21.679577443805904,30.743179759383015,19.315444320989666,8.695465358366164,7.767878077144784
AufgebenResignieren,34,W3_RAW,False,41.83824387528067,9.931774982713808,11.639205304793492,30.25313402875917,39.39389604216503,26.939386837278597,9.931774982713808,11.639205304793492
AusgebenGeldVerschwenden,19,W3_RAW,False,40.440508229915494,8.494806795617189,12.224639258838423,25.38078825963853,37.59445772954059,22.143830263511255,8.494806795617189,12.224639258838423
Auto,35,W3_RAW,False,37.397798306382626,11.107294568241313,12.536727336327278,24.609236326476896,36.1819790821907,21.749671277478384,11.107294568241313,12.536727336327278
BesuchenEinmischen,19,W3_RAW,False,37.791836761866776,15.418291369159917,10.971362248077446,25.170827698219497,35.390631110331285,22.665299853317848,15.418291369159917,10.971362248077446
Blitz,24,W3_RAW,True,37.51929399487549,,13.302775686205047,28.694402670889314,41.66752073779595,24.89606590198851,,13.302775686205047
Blume,21,W3_RAW,False,44.72135501546019,15.096902848200145,10.470728284341059,28.292155760108283,37.861461375420404,25.762370085295533,15.096902848200145,10.470728284341059
Boese,19,W3_RAW,True,43.751716828595136,,20.424381041715055,36.44920827564935,54.274763309510206,31.767250532305,,20.424381041715055
BroetchenAufschneiden,48,W3_RAW,False,43.4217351916312,12.115115069980112,11.503471121491435,32.02588571510106,43.28090095408294,28.160325141833933,12.115115069980112,11.503471121491431
Dort,13,W3_RAW,True,37.18679838764461,,11.371704429050995,27.00140064777829,41.56894300803904,23.241314098852463,,11.371704429050995
Duenn,23,W3_RAW,True,40.13478115356071,,15.053822280957931,27.361222068100698,39.03119109548149,24.369979086445138,,15.053822280957931
