clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,SIGNAL4D_EXT_ARM_BA_V4,False,44.11431701275159,15.038948942902184,10.229723265602301,29.024091909958795,46.22983749816493,24.813528581895476,15.038948942902186,10.229723265602301
Akzeptieren,31,SIGNAL4D_EXT_ARM_BA_V4,False,41.2371672501022,8.420244004260361,6.950404379984494,27.749290415461072,34.62480088917386,24.758846338933527,8.420244004260361,6.950404379984494
Arzt,21,SIGNAL4D_EXT_ARM_BA_V4,False,46.29800388137331,11.748665484934202,10.556847983617574,22.813616920100383,33.059834060332136,20.20548854640422,11.748665484934202,10.556847983617576
AufgebenResignieren,34,SIGNAL4D_EXT_ARM_BA_V4,False,41.58206990772226,11.208469904316765,10.690611266693665,30.537394487268315,40.092356581175125,27.194624153531855,11.208469904316765,10.690611266693665
AusgebenGeldVerschwenden,19,SIGNAL4D_EXT_ARM_BA_V4,False,40.25924066908621,14.374706100760372,15.017498486197807,25.042207621942445,38.3355718077673,21.69306146992052,14.374706100760372,15.017498486197807
Auto,35,SIGNAL4D_EXT_ARM_BA_V4,False,38.39993779256974,12.005513094618607,13.03756199017271,25.679463751796703,37.4759013659272,22.760958542151567,12.005513094618607,13.03756199017271
BesuchenEinmischen,19,SIGNAL4D_EXT_ARM_BA_V4,False,37.36030024652744,17.284688481480135,12.894179821594122,24.670912471137125,34.76564199111761,22.15589886733263,17.28468848148013,12.894179821594122
Blitz,24,SIGNAL4D_EXT_ARM_BA_V4,True,38.26222467210665,,13.431943971573526,29.89309073909422,43.68401463644695,25.86569517349261,,13.431943971573526
Blume,21,SIGNAL4D_EXT_ARM_BA_V4,False,45.92900386527555,19.520171769779424,9.128614782481945,28.083784020329166,37.31112665030852,25.609208553423866,19.520171769779424,9.128614782481947
Boese,19,SIGNAL4D_EXT_ARM_BA_V4,True,44.364942335396684,,20.404896577948694,36.793601743779675,55.11709994461206,32.06409925729706,,20.404896577948694
BroetchenAufschneiden,48,SIGNAL4D_EXT_ARM_BA_V4,False,42.77701859831213,12.842522880180653,12.686985363095516,31.153749788785444,42.545492429089414,27.304199983548468,12.842522880180654,12.686985363095516
Dort,13,SIGNAL4D_EXT_ARM_BA_V4,True,36.6683750699273,,12.94143261634626,27.748585828261316,42.754975413827985,23.844428740155195,,12.94143261634626
Duenn,23,SIGNAL4D_EXT_ARM_BA_V4,True,40.38530246259386,,16.3459045586436,27.76058880389396,39.8418745762222,24.59145906689448,,16.345904558643596
Einkaufen,21,SIGNAL4D_EXT_ARM_BA_V4,False,39.7941850337928,14.771605930998392,15.411997188089353,23.49844971478793,33.2150214096679,21.07131904036183,14.771605930998392,15.411997188089353
Einnehmen,31,SIGNAL4D_EXT_ARM_BA_V4,False,41.384465884174816,14.933929711196248,12.504715207143803,32.49721665967108,36.741829212289126,29.613816045803652,14.933929711196246,12.504715207143803
