clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,SIGNAL4D_EXT_HAND_V2,False,44.163788873920005,14.402471376856045,10.902746609761978,28.970197112657196,46.18661768067813,24.76371155995897,14.402471376856045,10.902746609761978
Akzeptieren,31,SIGNAL4D_EXT_HAND_V2,False,41.41881047195195,7.524673618389211,6.558136997187207,28.09719154890311,34.986797515845154,25.05997154958254,7.524673618389213,6.558136997187206
Arzt,21,SIGNAL4D_EXT_HAND_V2,False,45.66516279557326,10.07795904504743,8.18916237775414,21.696364057464788,31.309596169735567,19.292007334249394,10.07795904504743,8.189162377754142
AufgebenResignieren,34,SIGNAL4D_EXT_HAND_V2,False,41.46142775989801,10.55677368509301,11.455359928401245,30.361143933780582,40.10737313464193,26.997212472597848,10.55677368509301,11.455359928401247
AusgebenGeldVerschwenden,19,SIGNAL4D_EXT_HAND_V2,False,40.33291132446004,13.58715777915527,12.494483470830323,25.0077258333293,38.14858666715086,21.688285124462226,13.58715777915527,12.494483470830323
Auto,35,SIGNAL4D_EXT_HAND_V2,False,38.15897906639197,11.752318587274408,14.414042668859189,25.31688924827654,37.021294155608814,22.42085673615701,11.752318587274408,14.414042668859189
BesuchenEinmischen,19,SIGNAL4D_EXT_HAND_V2,False,37.32385133589268,16.50455927312863,12.833989903122863,24.550912113611865,35.13877724198095,21.99790230783975,16.504559273128628,12.833989903122864
Blitz,24,SIGNAL4D_EXT_HAND_V2,True,38.52518897547072,,13.585649145285705,30.15667805455087,44.59125795106539,26.05248509935878,,13.585649145285707
Blume,21,SIGNAL4D_EXT_HAND_V2,False,45.97407392680566,18.717118427620697,10.041176692478015,28.083007517000492,37.591763881745116,25.548514015575485,18.717118427620697,10.041176692478016
Boese,19,SIGNAL4D_EXT_HAND_V2,True,44.295213274459094,,20.487330524267445,36.89409693990714,54.02339569685182,32.25417110047107,,20.487330524267445
BroetchenAufschneiden,48,SIGNAL4D_EXT_HAND_V2,False,42.42415517777195,12.56794600441522,12.692895041250475,30.65017396519762,41.73763519258598,26.869923635871697,12.56794600441522,12.692895041250475
Dort,13,SIGNAL4D_EXT_HAND_V2,True,36.52437716519886,,13.656180838068064,27.321719831865792,43.01452941515284,23.441869741222263,,13.656180838068064
Duenn,23,SIGNAL4D_EXT_HAND_V2,True,40.34854916484423,,15.965094585375455,27.463252070989302,38.84420376178104,24.43622741761432,,15.965094585375455
Einkaufen,21,SIGNAL4D_EXT_HAND_V2,False,39.750470784379466,14.079776004668815,14.964155945460169,23.44340010035146,33.04017630650771,21.043666683939485,14.079776004668815,14.964155945460169
Einnehmen,31,SIGNAL4D_EXT_HAND_V2,False,41.41905665508985,16.58030337186914,13.066626059226026,32.603984886572576,36.88687520948209,29.69191207684306,16.58030337186914,13.066626059226026
EinstellenJob,34,SIGNAL4D_EXT_HAND_V2,False,39.655302884487114,14.6308309675351,8.713250385136256,26.575394901761204,37.7318677070961,23.233701024044347,14.6308309675351,8.713250385136257
EisGefroren,30,SIGNAL4D_EXT_HAND_V2,False,39.30153874383038,10.645128765647828,10.948350967965006,27.518911662159393,38.741244033769014,23.974746367187656,10.645128765647828,10.948350967965007
Empathie,23,SIGNAL4D_EXT_HAND_V2,False,44.9985943040594,12.077963770112344,10.55245115063917,31.54936361546116,47.6285083010706,27.59690840341127,12.077963770112344,10.55245115063917
Entschuldigung,31,SIGNAL4D_EXT_HAND_V2,False,36.8901638498979,13.996976330387085,15.41294338292993,22.5564602094475,33.02101704140332,20.223396291563553,13.996976330387087,15.41294338292993
FestellenDiagnose,28,SIGNAL4D_EXT_HAND_V2,False,50.195159081240774,12.383908253411175,13.552212644194201,26.923172365654377,41.942231969216934,23.131113082479764,12.383908253411175,13.552212644194201
Frech,25,SIGNAL4D_EXT_HAND_V2,True,47.3297512013066,,12.73772810855003,39.78558858136548,50.6934747174565,35.59269322400612,,12.73772810855003
Frieren,19,SIGNAL4D_EXT_HAND_V2,False,38.72801348227911,11.35953035191835,15.547011255090046,26.34853194948333,35.88254281980406,23.648579807703587,11.35953035191835,15.547011255090046
Frisch,26,SIGNAL4D_EXT_HAND_V2,False,52.97723970753941,13.040817631343455,13.149694492553387,42.388458618515,42.99134388163967,39.25520991391239,13.040817631343455,13.149694492553387
