clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,DexAvatar,False,44.17580390154324,13.708953862659625,10.772830151411458,28.81642121704556,46.185772210418484,24.626578189582514,13.708953862659627,10.77283015141146
Akzeptieren,31,DexAvatar,False,41.30988848325156,8.714191200765882,6.564471676333415,28.312418600574368,35.30010368965308,25.163175547992648,8.714191200765882,6.564471676333414
Arzt,21,DexAvatar,False,45.84909706098436,9.691220513173064,8.118954956710478,21.84135299305826,31.422535886968593,19.426528424671755,9.691220513173064,8.118954956710478
AufgebenResignieren,34,DexAvatar,False,41.34553985223355,11.72073991404452,10.992347308283648,30.408869805288038,40.9163766507046,26.903376789723445,11.720739914044524,10.992347308283648
AusgebenGeldVerschwenden,19,DexAvatar,False,41.20898144234659,12.322590540838156,13.732092431605981,26.319372562333978,39.18302658697396,22.893930330714415,12.322590540838156,13.732092431605977
Auto,35,DexAvatar,False,37.89816547858514,13.080201855676263,13.929829155984596,25.802402255101516,38.20976005650293,22.80292218961812,13.080201855676263,13.929829155984596
BesuchenEinmischen,19,DexAvatar,False,37.33866066361285,17.218117786613625,13.880320382972767,24.20222958946571,34.36084018837343,21.645416627167076,17.218117786613625,13.880320382972767
Blitz,24,DexAvatar,True,38.802680372434835,,13.66385369181439,30.06325661411975,44.63810505154178,25.97901721755225,,13.66385369181439
Blume,21,DexAvatar,False,45.50197303282454,20.895486360454072,10.57804114410672,28.0020717012582,38.11426072443056,25.43341069973767,20.895486360454072,10.578041144106722
Boese,19,DexAvatar,True,45.43617200357107,,22.05771070217522,38.04226093879818,56.10536989148062,33.22243324715428,,22.057710702175225
BroetchenAufschneiden,48,DexAvatar,False,42.9073622922752,11.73766396803358,12.061547902398189,30.611939859719417,41.847931577808545,26.840898109910274,11.73766396803358,12.061547902398189
Dort,13,DexAvatar,True,37.07397623893225,,12.19143229141421,27.450723831468448,43.171080194375946,23.52513232293621,,12.19143229141421
Duenn,23,DexAvatar,True,39.676564905008995,,17.858422085030988,27.441134484383014,38.906799459556176,24.39766122353979,,17.858422085030988
Einkaufen,21,DexAvatar,False,40.14444017411655,13.298529409639587,15.843365443933827,22.94961682681566,32.69984396975049,20.512060110607802,13.298529409639587,15.843365443933827
Einnehmen,31,DexAvatar,False,42.10998735189222,16.689486127716417,15.738477880580986,33.27324796213172,38.28386557841768,30.20340559669769,16.689486127716417,15.738477880580984
EinstellenJob,34,DexAvatar,False,40.06628268764892,15.186179709555878,8.755469038619244,27.127015172759016,37.91929137229973,23.714003632701914,15.186179709555878,8.755469038619244
EisGefroren,30,DexAvatar,False,39.54017956109013,11.353839317869705,11.995093989065529,27.500322963288742,38.56843919469531,23.967053098717113,11.353839317869705,11.995093989065529
Empathie,23,DexAvatar,False,44.30290968464258,12.52982678403491,12.238655942636544,31.059363097614213,46.83285706304146,27.17945094335491,12.52982678403491,12.238655942636544
Entschuldigung,31,DexAvatar,False,38.979600817252006,15.415232147604376,17.6156989465238,23.750746859644888,35.5815808369757,21.22641400946905,15.415232147604375,17.615698946523803
FestellenDiagnose,28,DexAvatar,False,51.20846752256038,13.478113602417334,15.523808882634341,27.907285446221124,43.07099421893868,24.031675236761192,13.478113602417334,15.523808882634341
Frech,25,DexAvatar,True,48.065284472813346,,13.674086827256037,40.338925453331775,51.961667582574535,36.043614710321854,,13.674086827256037
Frieren,19,DexAvatar,False,39.25537623947244,12.391025537010934,15.279207262666313,26.61057520175811,35.81570908787212,23.95588983327417,12.391025537010934,15.279207262666313
Frisch,26,DexAvatar,False,54.550115882038234,15.615532468358579,12.892817594586635,44.53427471936846,44.75342310308171,41.29445143006921,15.615532468358579,12.892817594586635
Froh,30,DexAvatar,False,50.808297220833154,12.409573647435252,13.671604177162271,41.019426677147976,48.94810717511688,37.02847212636722,12.409573647435254,13.671604177162271
Glas,18,DexAvatar,False,35.898672780837764,13.690433203513741,13.537978944342651,23.486774216907012,32.761307691158954,21.100434115782193,13.690433203513741,13.537978944342651
IdiomPffIgnorieren,16,DexAvatar,False,48.82529731576238,15.35714024288411,14.33701134229894,22.359920577203937,35.71527349610599,19.193359226222363,15.357140242884109,14.33701134229894
Jahr,40,DexAvatar,True,39.03632472068499,,16.238184316004112,33.70372609487171,46.972436789370235,29.38064318218926,,16.238184316004112
Klar,16,DexAvatar,True,42.5938690738584,,14.521524942718248,35.63772625956328,47.906112732850424,31.236168177266947,,14.521524942718248
Kochen,46,DexAvatar,False,39.206254982161475,11.461981205804005,18.16415421817238,24.83355102572633,37.874644136364616,21.776752619573394,11.461981205804003,18.164154218172385
Lesen,31,DexAvatar,False,42.98936177861244,11.002545053326994,11.82454055520122,30.15272882457959,47.7473734410616,25.813814485906803,11.002545053326994,11.824540555201223
LiebBitte,14,DexAvatar,True,54.193560900490205,,13.956421722810733,48.50918526492826,60.30763757185016,42.847547108487746,,13.956421722810733
Luegen,17,DexAvatar,True,47.2054580008289,,14.792287522647658,38.8769608281057,52.38744964210657,34.39234916045162,,14.79228752264766
Muell,15,DexAvatar,True,44.78662158399466,,16.39340791139993,29.721049612717003,43.677093648987444,26.41295850759734,,16.39340791139993
