clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,SignDomainV1R,False,44.16151756084058,14.401980697556139,10.871955188457582,28.96584881677425,46.17910854610921,24.760115218137933,14.40198069755614,10.871955188457582
Akzeptieren,31,SignDomainV1R,False,41.43115350110183,7.5588946131858386,6.5067486923042015,28.124726950152233,35.03000245432436,25.081754599304727,7.5588946131858386,6.5067486923042015
Arzt,21,SignDomainV1R,False,45.66807910274933,10.057058017004213,8.170902659550684,21.702355967376725,31.316524794564447,19.297350473094916,10.057058017004213,8.170902659550686
AufgebenResignieren,34,SignDomainV1R,False,41.46097498812718,10.512249773359386,11.22679487576141,30.357106976694354,40.05602690456258,26.998827905698292,10.512249773359388,11.226794875761412
AusgebenGeldVerschwenden,19,SignDomainV1R,False,40.33269393917589,13.58827388587263,12.495414322379057,25.007404750636084,38.14788848567872,21.688033815749137,13.58827388587263,12.495414322379055
Auto,35,SignDomainV1R,False,38.14306219534282,11.562853364072609,13.198787241557607,25.29811487902855,36.9925590510449,22.399628822395957,11.562853364072609,13.198787241557607
BesuchenEinmischen,19,SignDomainV1R,False,37.32409593622382,16.512887342811993,12.833960866871891,24.55146629422841,35.13993866681682,21.99830183457528,16.512887342811993,12.833960866871891
Blitz,24,SignDomainV1R,True,38.526884304426055,,13.2481927939887,30.157694321621523,44.602158124959345,26.052256202094167,,13.2481927939887
Blume,21,SignDomainV1R,False,45.97483480470743,18.737943715578087,10.027999710941932,28.084514046149827,37.58960817463186,25.550113593655016,18.737943715578087,10.027999710941932
Boese,19,SignDomainV1R,True,44.27849167841586,,20.12480457073416,36.86632386589778,53.99244991083711,32.23005673493369,,20.12480457073416
BroetchenAufschneiden,48,SignDomainV1R,False,42.416617186286096,12.5727998178856,12.718554366535363,30.640209176918237,41.718073725029086,26.86133741579967,12.5727998178856,12.718554366535363
Dort,13,SignDomainV1R,True,36.55193866106562,,12.967201362996487,27.369143047395564,43.10808788847916,23.477871614938753,,12.967201362996487
Duenn,23,SignDomainV1R,True,40.35257479460742,,15.59577242191403,27.47097386285381,38.902228407574036,24.434522745087417,,15.59577242191403
