clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Ablehnen,14,SignDomainRawInit,False,39.003231598502275,20.44556617381061,11.155498466628515,29.509938992339723,42.22144835645266,25.75896550181853,20.44556617381061,11.155498466628515
Akzeptieren,31,SignDomainRawInit,False,37.70673109354318,7.7123502080219275,7.659160721516951,24.179692008935756,28.13572002642175,22.31000384808894,7.7123502080219275,7.65916072151695
Arzt,21,SignDomainRawInit,False,42.72889818260474,25.361299272562754,13.16490399294926,24.30648264993244,30.495528707999192,22.58789302269808,25.361299272562754,13.16490399294926
AufgebenResignieren,34,SignDomainRawInit,False,44.65304068742957,33.311888270245454,47.20614640593549,39.34994028296863,38.01881449628256,36.50202449040358,33.311888270245454,47.20614640593549
AusgebenGeldVerschwenden,19,SignDomainRawInit,False,40.80224546650125,17.77486150292957,25.956128481615817,31.52672950516173,38.38615464544717,28.607065009684607,17.774861502929568,25.956128481615817
Auto,35,SignDomainRawInit,False,34.99060300392971,11.64312849652054,13.980647099636029,26.620182804607555,37.642244473539726,23.74157026696925,11.643128496520541,13.980647099636029
BesuchenEinmischen,19,SignDomainRawInit,False,37.754463402739404,16.966203884279736,20.658349833366838,27.270367143530308,37.46919786144212,24.837004117521655,16.966203884279736,20.658349833366838
Blitz,24,SignDomainRawInit,True,33.495491388149595,,17.906770982377456,26.988756757130187,30.73787929595295,24.00680694733589,,17.906770982377456
Blume,21,SignDomainRawInit,False,39.93458389246355,21.45723510478449,31.109209702261854,29.857777291231184,38.160592305342995,27.008843517295357,21.45723510478449,31.109209702261854
Boese,19,SignDomainRawInit,True,39.345423528127625,,21.826491851570232,34.50523425461114,53.7311165230219,28.955662806735017,,21.826491851570232
BroetchenAufschneiden,48,SignDomainRawInit,False,36.83328801259626,13.520890607363754,48.4679158435009,28.94696770786925,44.23339845521755,25.328516990749762,13.520890607363754,48.46791584350092
Dort,13,SignDomainRawInit,True,37.41073273783748,,13.098130475674328,33.17076555563558,40.90512711791238,29.07154359263131,,13.098130475674328
Duenn,23,SignDomainRawInit,True,37.8204705928727,,23.195810932847294,32.799265705542474,33.64198734623621,29.35259496285725,,23.19581093284729
Einkaufen,21,SignDomainRawInit,False,37.721914442847435,18.105102230186837,19.713243197513002,25.484387379771377,31.70848443269729,23.275767410878068,18.105102230186837,19.713243197513002
Einnehmen,31,SignDomainRawInit,False,45.20974686632778,28.495933761559368,16.41989190918464,37.604914512063154,37.4169403560487,34.84031531123927,28.495933761559368,16.41989190918464
EinstellenJob,34,SignDomainRawInit,False,39.06508015867379,37.39322117293764,15.20367346788333,30.694113451787242,33.87628558766983,27.98502265182043,37.39322117293766,15.20367346788333
EisGefroren,30,SignDomainRawInit,False,34.43453762157404,17.609424874643036,19.08684483398868,26.051320458208714,37.098309202102946,22.91291324917488,17.609424874643036,19.08684483398868
Empathie,23,SignDomainRawInit,False,40.09184226210112,13.537841402922462,15.535864561229491,31.23024780474191,40.90885209540119,28.316706934684756,13.537841402922462,15.53586456122949
Entschuldigung,31,SignDomainRawInit,False,33.698241834746405,19.957197100156314,12.380025779746921,24.614207318158055,31.290909320558853,22.537861296943053,19.957197100156314,12.380025779746921
FestellenDiagnose,28,SignDomainRawInit,False,42.97476712867628,19.604664735344954,16.899814323109332,30.513348685155254,35.991811685710424,27.701045254865807,19.604664735344958,16.899814323109332
Frech,25,SignDomainRawInit,True,33.742128602825126,,15.251473831347301,26.092853040394917,35.73764631270742,22.978326298075626,,15.251473831347303
Frieren,19,SignDomainRawInit,False,37.49950856856264,12.352484239378123,16.399661159148877,28.79664513565128,39.041596870151146,25.44369278556965,12.352484239378123,16.399661159148877
Frisch,26,SignDomainRawInit,False,37.02234387721193,27.368542052741393,41.96655310284685,30.156068665632276,39.07478174235752,26.912288042670077,27.368542052741393,41.96655310284685
Froh,30,SignDomainRawInit,False,44.213559042126896,18.74023175416324,21.78399654853843,37.88000440520927,54.2127497623579,33.422476696317815,18.74023175416324,21.783996548538433
Glas,18,SignDomainRawInit,False,33.46671862877045,16.679816355435875,11.689843494442952,24.865908912329438,30.042705313599672,22.840798454666366,16.679816355435875,11.689843494442954
