clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Blitz,24,V6,True,37.574131852490886,,13.246393326683053,28.72031032208233,41.995294815247995,24.886015398025894,,13.246393326683053
Dort,13,V6,True,37.2177106418188,,11.277597472348326,26.997468463973195,42.122110976090624,23.196384116683173,,11.277597472348326
EinstellenJob,34,V6,False,39.39591220143413,11.531149456455111,8.302535195219374,26.269991869083217,37.467485340674116,23.065433329930716,11.531149456455111,8.302535195219374
EisGefroren,30,V6,False,39.64677952021573,10.451325826431345,10.335842121026756,28.026611328803774,39.03145696835754,24.459862821158023,10.451325826431345,10.335842121026756
Frech,25,V6,True,47.116691793848844,,12.594532502591774,39.671228079847445,50.82256789907127,35.455048912034364,,12.594532502591774
Mutter,24,V6,True,47.35090782362917,,9.235971540741142,38.09652251644973,52.42795449630253,33.39900648878856,,9.235971540741142
Neu,13,V6,False,41.75119478045073,13.35406012893303,10.5560390110691,28.636430261970307,40.27121649581192,25.6935217382812,13.35406012893303,10.556039011069096
SauerWuetend,22,V6,True,48.99358601154218,,10.212239449688973,37.99662460230175,46.62169418793965,33.84506607760512,,10.212239449688973
Schwer,21,V6,False,45.2981493572955,13.106277644032245,15.878237248352145,32.99869896379918,42.847673124391456,29.599566958629232,13.106277644032245,15.878237248352145
Treffen,28,V6,False,43.30808210941643,15.197319129500467,9.68980791246483,24.044892864922186,32.60986500148252,21.01078722346359,15.197319129500467,9.68980791246483
VorsichtPassAuf,12,V6,False,43.86780960703805,8.971891386527602,10.363009550191034,31.31823150392711,35.56125280681136,28.3656024685675,8.971891386527602,10.363009550191034
Widerspruch,14,V6,False,44.02009037854327,16.005489084385573,10.521361706735735,28.980955150981238,43.27974583061911,25.406054095960542,16.005489084385573,10.521361706735735
