clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Blitz,24,D0,True,37.59736882885095,,13.303895744949642,28.81454117639132,42.068000399953,24.972971381927493,,13.303895744949642
Dort,13,D0,True,37.25950570726299,,11.356468586184329,27.0929054379242,41.87433213896781,23.309387508907324,,11.356468586184329
EinstellenJob,34,D0,False,39.40179661114906,11.799703016740303,8.292586050361878,26.3293902231853,37.40569450995075,23.1229706715543,11.799703016740303,8.292586050361878
EisGefroren,30,D0,False,39.730571081587534,10.562024775136788,10.298088485436995,28.099581589551768,39.166551678158115,24.539848236627204,10.562024775136786,10.298088485436995
Frech,25,D0,True,47.10683402139215,,12.609686919574095,39.66356628125018,50.721722248670375,35.457403237761284,,12.609686919574095
Mutter,24,D0,True,47.3747218857373,,9.402023710089466,38.097155993022234,52.663420210808106,33.37832108507201,,9.402023710089466
Neu,13,D0,False,42.017946796350934,13.483632995631393,10.674372244792123,29.06250189374724,40.877509873687586,26.03293770959502,13.483632995631393,10.674372244792123
SauerWuetend,22,D0,True,49.069887875790634,,10.148469312581689,38.08578553281375,46.88500198849597,33.90672306327791,,10.148469312581685
Schwer,21,D0,False,45.38203435792487,13.182384837285777,15.902793460211258,33.1933641781148,42.989155369070794,29.782852056338648,13.182384837285777,15.90279346021126
Treffen,28,D0,False,43.36893598110398,15.125754606530291,9.761320656917956,24.139594688537596,32.809039268656655,21.081083115503592,15.125754606530291,9.761320656917956
VorsichtPassAuf,12,D0,False,44.203131109900816,9.450819990235088,10.510313614555457,31.723253144058706,36.4150711210829,28.68943458719014,9.450819990235088,10.510313614555455
Widerspruch,14,D0,False,44.05038512451282,16.05594260569754,10.641955030981622,29.05955440428682,43.3967416465931,25.467131635979936,16.05594260569754,10.641955030981622
