clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Blitz,24,W3,True,37.51929399487549,,13.302775686205047,28.694402670889314,41.66752073779595,24.89606590198851,,13.302775686205047
Dort,13,W3,True,37.18679838764461,,11.371704429050995,27.00140064777829,41.56894300803904,23.241314098852463,,11.371704429050995
EinstellenJob,34,W3,False,39.41653218359928,11.585802897849893,8.209904837536111,26.286995454521783,37.33641278956776,23.096737484658885,11.585802897849893,8.209904837536111
EisGefroren,30,W3,False,39.626508853025065,10.528492406055214,10.24944630098388,27.9203030171938,38.989396797849686,24.3849190016103,10.528492406055214,10.24944630098388
Frech,25,W3,True,47.06156413543931,,12.60930572964346,39.613799678615756,50.52304053863182,35.42723629273328,,12.60930572964346
Mutter,24,W3,True,47.377791371220646,,9.34864470452231,38.09628671232931,52.65913608331115,33.37831351660433,,9.34864470452231
Neu,13,W3,False,42.03228204452186,13.443938318780129,10.762449615734091,29.07844690164122,41.00542520659202,26.035439791768795,13.443938318780129,10.762449615734091
SauerWuetend,22,W3,True,49.18103516982233,,10.09890876581454,38.252342900442954,47.1429980998414,34.04717538226306,,10.09890876581454
Schwer,21,W3,False,45.36153448189665,13.172857560212217,15.872008913864098,33.146908099137704,42.91406907934275,29.746565100116044,13.172857560212217,15.872008913864098
Treffen,28,W3,False,43.389776835863806,15.067976434516781,9.786161264850353,24.17483075039824,32.96554258023148,21.09377947720349,15.067976434516781,9.786161264850353
VorsichtPassAuf,12,W3,False,44.13228824032075,9.419148464277706,10.544511241642157,31.591692176611474,36.25693747232388,28.576415483836247,9.419148464277706,10.544511241642157
Widerspruch,14,W3,False,44.14363862156619,16.115407469027154,10.574721633825588,29.193230348603898,43.51085932696977,25.582890615602114,16.115407469027154,10.574721633825588
