clip_id,frames,method,one_handed_class_0,tr_all_mm,tr_left_hand_mm,tr_right_hand_mm,tr_upper_body_minus_face_mm,tr_upper_body_minus_head_mm,tr_upper_body_mm,v2v_left_wrist_mm,v2v_right_wrist_mm
Blitz,24,S2,True,37.283358064003146,,13.530043806646512,28.345894834970398,40.37609870598138,24.68552262058692,,13.530043806646512
Dort,13,S2,True,36.98604176542781,,11.426810980041333,26.720029843308826,39.90924183133536,23.11347190548165,,11.426810980041333
EinstellenJob,34,S2,False,39.389124429960454,10.891116217496798,7.431500126304452,25.75523811555311,35.55348996051502,22.866792648561432,10.891116217496798,7.431500126304453
EisGefroren,30,S2,False,39.4639702568476,10.624300715728912,9.742503958725218,27.420066632482694,38.41692190304657,23.998457728338703,10.62430071572891,9.742503958725216
Frech,25,S2,True,46.82043150357666,,12.627786583427854,39.29281618974012,49.40337812344118,35.19667964655636,,12.627786583427854
Mutter,24,S2,True,47.4644331069008,,9.962450568801472,38.10808304765271,53.45145532155408,33.31756305336074,,9.96245056880147
Neu,13,S2,False,43.005290034235564,13.686507209690891,11.660587481527209,30.616379427629344,43.44897897778125,27.269568433613756,13.686507209690891,11.660587481527209
SauerWuetend,22,S2,True,49.782568324212725,,10.09348180367615,39.15006318737085,48.53185889001584,34.80141864724735,,10.09348180367615
Schwer,21,S2,False,44.97459006648193,13.334057356120013,15.724057022434433,32.553131574990886,41.594933528685814,29.309305081560804,13.334057356120013,15.724057022434433
Treffen,28,S2,False,43.629453938076956,14.917704632447538,10.236666085609201,24.603874662169993,34.07446921764234,21.391607510304933,14.917704632447538,10.236666085609201
VorsichtPassAuf,12,S2,False,44.86311108261771,10.495794383768482,11.029096469683175,32.602801253471284,37.815560978283266,29.478195755212955,10.495794383768482,11.029096469683175
Widerspruch,14,S2,False,44.63158210865573,16.378709587709658,10.799721683550645,30.07645397756711,44.35962974345207,26.34371498656079,16.378709587709658,10.799721683550645
